"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S1_S2_D_6"
"03/21/2023 14:30:20:784 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"distance-fraction","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","205426.60000000874","47","39.4","35163.799999965035","33","30.2","59465.39999999588","38","30.2","240118.80000000377","42","42","207444.20000000743","46","39.4","34139.99999998259","34","30.2","179977.20000000432","41","39.4","39266.99999995997","39","30.2"
"[min]","0","47","36","0","29","30.2","0","38","30.2","0","36","42","0","46","36","0","34","30.2","0","41","36","0","36","30.2"
"[max]","205426.60000000874","51","39.4","35163.799999965035","33","42","59465.39999999588","39","36","240118.80000000377","42","43","207444.20000000743","46","39.4","34139.99999998259","34","42","179977.20000000432","44","39.4","39266.99999995997","39","42"
"[mean]","97104.63160000219","48.4145","37.93429999999906","29889.44029998871","31.5855","32.0879999999986","41208.89820000071","38.15","32.68559999999974","120371.72689999912","41.2205","42.43449999999978","96534.285900001","46","37.93429999999906","29204.091999997243","34","32.0879999999986","85433.62809999991","42.283","37.93429999999906","33417.24149998659","37.717","32.0879999999986"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","51","36","0","29","42","0","38","36","0","42","42","0","46","36","0","34","42","0","44","36","0","36","42"
,"306","51","36.2","348","29","41.8","228","38","35.8","504","42","42.2","276","46","36.2","408","34","41.8","264","44","36.2","432","36","41.8"
,"306","51","36.2","348","29","41.8","228","38","35.8","504","42","42.2","276","46","36.2","408","34","41.8","264","44","36.2","432","36","41.8"
,"367.9999999999999","51","36.2","407.00000000000006","29","41.8","297.60000000000014","38","35.8","540.6000000000001","42","42.2","337.9999999999999","46","36.2","455.20000000000005","34","41.8","307.3999999999999","44","36.2","502.79999999999995","36","41.8"
,"405.1999999999998","51","36.2","513.2","29","41.8","309.20000000000016","38","35.8","638.2000000000005","42","42.2","375.1999999999998","46","36.2","502.4","34","41.8","375.5999999999998","44","36.2","549.9999999999998","36","41.8"
,"529.2","51","36.2","607.5999999999997","29","41.8","413.60000000000036","38","35.8","809.0000000000011","42","42.2","505.39999999999975","46","36.2","643.9999999999994","34","41.8","456.19999999999965","44","36.2","679.7999999999993","36","41.8"
,"585.0000000000005","51","36.2","642.9999999999995","29","41.8","431.0000000000004","38","35.8","870.0000000000014","42","42.2","561.2000000000002","46","36.2","667.5999999999993","34","41.8","511.9999999999998","44","36.2","785.9999999999989","36","41.8"
,"727.6000000000015","51","36.2","843.5999999999988","29","41.8","547","38","35.8","1114.0000000000023","40","42.2","685.2000000000011","46","36.2","820.9999999999987","34","41.8","642.2000000000007","44","36.2","962.9999999999982","36","41.8"
,"783.4000000000019","51","36.2","914.3999999999985","29","41.8","599.1999999999996","38","35.8","1162.8000000000025","42","42.2","722.4000000000013","46","36.2","950.7999999999982","34","41.8","691.8000000000011","44","36.2","1045.5999999999979","36","41.8"
,"907.4000000000028","51","36.2","1008.7999999999981","29","41.8","703.5999999999988","38","35.8","1333.600000000003","42","42.2","852.6000000000023","46","36.2","1092.3999999999978","34","41.8","772.4000000000017","44","36.2","1175.3999999999974","36","41.8"
,"944.6000000000031","51","36.2","1114.9999999999977","29","41.8","715.1999999999987","38","35.8","1431.2000000000035","42","42.2","889.8000000000026","46","36.2","1139.5999999999976","34","41.8","840.6000000000022","44","36.2","1222.5999999999972","36","41.8"
,"1062.400000000004","51","36.2","1209.3999999999974","29","41.8","802.199999999998","38","35.8","1528.8000000000038","42","42.2","1007.6000000000033","46","36.2","1210.3999999999974","34","41.8","939.8000000000029","44","36.2","1399.5999999999965","36","41.8"
,"1062.400000000004","51","36.2","1209.3999999999974","29","41.6","802.199999999998","38","35.8","1528.8000000000038","42","42","1007.6000000000033","46","36.2","1210.3999999999974","34","41.6","939.8000000000029","44","36.2","1399.5999999999965","36","41.6"
,"1267.0000000000055","51","36.2","1441.3999999999955","29","41.6","952.9999999999968","38","35.8","1924.8000000000038","42","42","1199.8000000000047","46","36.2","1453.9999999999955","34","41.6","1107.2000000000041","44","36.2","1631.5999999999947","36","41.6"
,"1267.0000000000055","51","36.2","1441.3999999999955","29","41.6","952.9999999999968","38","35.8","1924.8000000000038","42","42","1199.8000000000047","46","36.2","1453.9999999999955","34","41.6","1107.2000000000041","44","36.2","1631.5999999999947","36","41.6"
,"1384.8000000000063","51","36.2","1568.9999999999945","29","41.6","1074.7999999999959","38","35.8","2008.8000000000038","42","42","1299.0000000000055","46","36.2","1627.999999999994","34","41.6","1200.2000000000048","44","36.2","1782.3999999999935","36","41.6"
,"1477.800000000007","51","36.2","1708.1999999999935","29","41.6","1103.7999999999956","38","35.8","2164.800000000004","42","42","1392.0000000000061","46","36.2","1697.5999999999935","34","41.6","1324.2000000000057","44","36.2","1933.1999999999923","36","41.6"
,"1601.800000000008","51","36.2","1800.9999999999927","29","41.6","1208.1999999999948","38","35.8","2332.800000000004","42","42","1522.200000000007","46","36.2","1836.7999999999925","34","41.6","1404.8000000000063","44","36.2","2060.7999999999915","36","41.6"
,"1601.800000000008","51","36.2","1800.9999999999927","29","41.6","1208.1999999999948","38","35.8","2332.800000000004","42","42","1522.200000000007","46","36.2","1836.7999999999925","34","41.6","1404.8000000000063","44","36.2","2060.7999999999915","36","41.6"
,"1744.400000000009","51","36.2","1998.1999999999912","29","41.6","1324.199999999994","38","35.8","2596.800000000004","42","42","1646.200000000008","46","36.2","1987.5999999999913","34","41.6","1535.0000000000073","44","36.2","2234.79999999999","36","41.6"
,"1744.400000000009","51","36.2","1998.1999999999912","29","41.6","1324.199999999994","38","35.8","2596.800000000004","42","42","1646.200000000008","46","36.2","1987.5999999999913","34","41.6","1535.0000000000073","44","36.2","2234.79999999999","36","41.6"
,"1924.2000000000103","51","36.2","2125.79999999999","29","41.6","1445.999999999993","38","35.8","2824.800000000004","42","42","1832.2000000000094","46","36.2","2149.99999999999","34","41.6","1671.4000000000083","44","36.2","2466.7999999999884","36","41.6"
,"2017.200000000011","51","36.2","2299.799999999989","29","41.6","1509.7999999999925","38","35.8","2968.800000000004","42","42","1906.60000000001","46","36.2","2323.9999999999886","34","41.6","1789.2000000000091","44","36.2","2594.3999999999874","36","41.6"
,"2079.2000000000094","51","36.2","2357.7999999999884","29","41.4","1579.399999999992","38","35.8","3004.800000000004","42","42.2","1968.6000000000104","46","36.2","2370.3999999999883","34","41.4","1832.6000000000095","44","36.2","2663.999999999987","36","41.4"
,"2079.2000000000094","51","36.2","2357.7999999999884","29","41.4","1579.399999999992","38","35.8","3004.800000000004","42","42.2","1968.6000000000104","46","36.2","2370.3999999999883","34","41.4","1832.6000000000095","44","36.2","2663.999999999987","36","41.4"
,"2283.8000000000034","51","36.2","2585.79999999999","29","41.4","1730.1999999999907","38","35.8","3382.999999999998","40","42.2","2160.8000000000065","46","36.2","2609.79999999999","34","41.4","2000.0000000000107","44","36.2","2891.9999999999886","36","41.4"
,"2339.6000000000017","51","36.2","2619.9999999999905","29","41.4","1747.5999999999906","38","35.8","3443.9999999999973","42","42.2","2216.600000000005","46","36.2","2632.5999999999904","34","41.4","2055.8000000000097","44","36.2","2994.5999999999894","36","41.4"
