"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S4_S2_D_6"
"03/22/2023 01:14:24:730 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"distance-fraction","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","162390","40","36","222993.000000018","40","40","72859","40","31","144172.3999999848","40","34","306985","43","42","44465.199999966","37","30.2","20826","34","31","318278.80000006524","46","42"
"[min]","0","39","36","0","39","40","0","39","31","0","38","34","0","25","36","0","35","30.2","0","33","31","0","44","42"
"[max]","162390","41","38","222993.000000018","41","42","72859","42","39","144172.3999999848","41","42","306985","45","46","44465.199999966","38","42","20826","34","36","318278.80000006524","47","42.6"
"[mean]","81715.4325","39.792","36.5335","112353.47949999587","40.208","40.28589999999921","49507.8815","39.991","32.9275","86090.44839999099","40.009","35.87289999999921","151849.761","42.128","42.7285","37590.36609998871","36.9925","32.18479999999887","10999.19","33.999","31.0575","159227.46650001334","45.7205","42.17929999999927"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","41","36","0","39","42","0","42","36","0","38","42","0","45","36","0","35","42","0","33","36","0","47","42"
,"246","41","37","468","39","41.8","252","42","37","456","38","41.8","270","45","37","420","35","41.8","198","33","35","564","47","42.2"
,"246","41","37","468","39","41.8","252","42","37","456","38","41.8","270","45","37","420","35","41.8","198","34","35","564","46","42.2"
,"316","41","37","538.7999999999998","39","41.8","329","42","37","550.3999999999997","38","41.8","333","45","37","479.00000000000006","35","41.8","233","34","35","698.2000000000005","46","42.2"
,"400","41","37","609.5999999999996","39","41.8","399","42","37","691.9999999999992","38","41.8","417","45","37","585.1999999999997","35","41.8","268","34","35","759.2000000000007","45","42.2"
,"512","41","37","774.7999999999989","39","41.8","525","42","37","845.3999999999986","38","41.8","543","45","37","738.5999999999991","35","41.8","328","34","35","978.8000000000015","46","42.2"
,"540","41","37","904.5999999999984","39","41.8","588","42","37","916.1999999999983","38","41.8","599","45","37","797.5999999999989","35","41.8","363","34","35","1137.4000000000021","46","42.2"
,"757","41","37","1140.5999999999976","39","41.8","770","42","37","1234.7999999999972","38","41.8","795","45","37","1057.199999999998","35","41.8","473","34","35","1442.4000000000033","45","42.2"
,"757","41","37","1140.5999999999976","39","41.8","770","42","37","1234.7999999999972","38","41.8","795","45","37","1057.199999999998","35","41.8","473","34","35","1442.4000000000033","46","42.2"
,"869","41","37","1305.799999999997","39","41.8","896","42","37","1388.1999999999966","38","41.8","921","45","37","1210.5999999999974","35","41.8","533","34","35","1662.000000000004","46","42.2"
,"953","41","37","1376.5999999999967","39","41.8","966","42","37","1529.799999999996","38","41.8","1005","45","37","1316.799999999997","35","41.8","568","34","35","1723.0000000000043","45","42.2"
,"1051","41","37","1577.199999999996","39","41.8","1106","42","37","1694.9999999999955","38","41.8","1124","45","37","1434.7999999999965","35","41.8","638","34","35","2015.8000000000054","46","42.2"
,"1051","41","36","1577.199999999996","39","41.6","1106","42","36","1694.9999999999955","38","41.6","1124","45","36","1434.7999999999965","35","41.6","638","34","34","2015.8000000000054","46","42"
,"1273","41","36","1901.9999999999934","39","41.6","1304","42","36","2066.1999999999925","38","41.6","1346","45","36","1782.7999999999938","35","41.6","746","34","34","2411.8000000000056","46","42"
,"1273","41","36","1901.9999999999934","39","41.6","1304","42","36","2066.1999999999925","38","41.6","1346","45","36","1782.7999999999938","35","41.6","746","34","34","2411.8000000000056","46","42"
,"1333","41","36","1971.5999999999929","39","41.6","1370","42","36","2158.999999999992","38","41.6","1400","45","36","1840.7999999999934","35","41.6","774","34","34","2543.8000000000056","46","42"
,"1429","41","36","2168.7999999999915","39","41.6","1484","42","36","2367.79999999999","38","41.6","1520","45","36","2003.199999999992","35","41.6","830","34","34","2771.8000000000056","46","42"
,"1525","41","36","2331.1999999999903","39","41.6","1592","42","36","2518.599999999989","38","41.6","1628","45","36","2153.999999999991","35","41.6","878","34","34","2987.8000000000056","46","42"
,"1525","41","36","2331.1999999999903","39","41.6","1592","42","36","2518.599999999989","38","41.6","1628","45","36","2153.999999999991","35","41.6","878","34","34","2987.8000000000056","46","42"
,"1711","41","36","2563.1999999999884","39","41.6","1748","42","36","2831.7999999999865","38","41.6","1796","45","36","2409.199999999989","35","41.6","966","34","34","3299.8000000000056","46","42"
,"1711","41","36","2563.1999999999884","39","41.6","1748","42","36","2831.7999999999865","38","41.6","1796","45","36","2409.199999999989","35","41.6","966","34","34","3299.8000000000056","46","42"
,"1831","41","36","2853.199999999986","39","41.6","1910","42","36","3052.199999999985","38","41.6","1952","45","36","2617.9999999999873","35","41.6","1042","34","34","3671.8000000000056","46","42"
,"1903","41","36","2922.7999999999856","39","41.6","1970","42","36","3191.3999999999837","38","41.6","2024","45","36","2722.3999999999864","35","41.6","1070","34","34","3743.8000000000056","46","42"
,"1963","41","37","2992.399999999985","39","41.4","2036","42","37","3284.199999999983","38","41.4","2078","45","37","2780.399999999986","35","41.4","1098","34","33","3875.8000000000056","46","42.2"
,"1963","41","37","2992.399999999985","39","41.4","2036","42","37","3284.199999999983","38","41.4","2078","45","37","2780.399999999986","35","41.4","1098","34","33","3875.8000000000056","46","42.2"
,"2222","41","37","3311.5999999999876","39","41.4","2267","42","37","3648.999999999986","38","41.4","2337","45","37","3122.3999999999887","35","41.4","1179","34","33","4266.2","45","42.2"
,"2250","41","37","3436.9999999999886","39","41.4","2330","42","37","3717.3999999999864","38","41.4","2393","45","37","3179.399999999989","35","41.4","1200","34","33","4424.799999999997","46","42.2"
,"2320","41","37","3505.399999999989","39","41.4","2407","42","37","3808.599999999987","38","41.4","2456","45","37","3236.3999999999896","35","41.4","1221","34","33","4558.999999999995","46","42.2"
,"2404","41","37","3573.7999999999897","39","41.4","2477","42","37","3945.3999999999883","38","41.4","2540","45","37","3338.9999999999905","35","41.4","1242","34","33","4619.9999999999945","45","42.2"
,"2516","41","37","3733.399999999991","39","41.4","2603","42","37","4093.5999999999885","38","41.4","2666","45","37","3487.1999999999916","35","41.4","1278","34","33","4839.599999999991","46","42.2"
,"2516","41","37","3733.399999999991","39","41.4","2603","42","37","4093.5999999999885","38","41.4","2666","45","37","3487.1999999999916","35","41.4","1278","34","33","4839.599999999991","46","42.2"
,"2761","41","37","4086.799999999993","39","41.4","2848","42","37","4469.7999999999765","38","41.4","2918","45","37","3794.999999999994","35","41.4","1365","34","33","5303.199999999984","45","42.2"
,"2761","41","37","4086.799999999993","39","41.4","2848","42","37","4469.7999999999765","38","41.4","2918","45","37","3794.999999999994","35","41.4","1365","34","33","5303.199999999984","46","42.2"
,"2873","41","37","4246.399999999988","39","41.4","2974","42","37","4617.999999999972","38","41.4","3044","45","37","3943.1999999999953","35","41.4","1401","34","33","5522.799999999981","46","42.2"
,"2957","41","38","4314.799999999986","39","41.2","3044","42","38","4754.799999999967","38","41.2","3128","45","38","4045.799999999996","35","41.2","1422","34","32","5583.79999999998","45","42"
,"3037","39","38","4381.9999999999845","41","41.2","3132","41","38","4844.399999999966","39","41.2","3200","45","38","4101.799999999996","35","41.2","1436","34","32","5715.79999999998","46","42"
