"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S2_S2_D_2"
"03/21/2023 18:01:23:209 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"distance-fraction","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","255096.00000003751","41","42","227847.00000000966","39","40.4","270150.600000046","40","42","177101.80000001038","40","37.2","254749.00000003813","40","42","124154.9999999797","40","34.8","227722.0000000112","39","41.2","265354.600000011","41","42"
"[min]","0","37","36","0","36","36.6","0","36","36","0","31","34.8","0","35","36","0","30","33","0","39","36","0","34","39.6"
"[max]","255096.00000003751","44","42.6","227847.00000000966","40","42","270150.600000046","49","42.4","177101.80000001038","40","42","254749.00000003813","50","42.4","124154.9999999797","40","42","227722.0000000112","43","41.8","265354.600000011","41","42.8"
"[mean]","119543.71210000727","40.4075","41.08729999999925","108909.13429999852","39.3655","39.7396999999994","128052.22100000897","41.3345","41.09389999999903","86112.15000000519","38.484","37.45650000000021","122726.03520000752","40.603","41.07409999999904","64885.75459999416","38.6535","35.55269999999969","107382.9004999979","39.862","40.485699999999454","129803.13109999683","39.9135","41.99669999999961"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","44","36","0","36","42","0","49","36","0","31","42","0","50","36","0","30","42","0","43","36","0","37","42"
,"264","44","36.2","432","36","41.8","294","49","36.2","372","31","41.8","300","50","36.2","360","30","41.8","258","43","36.2","444","37","41.8"
,"264","44","36.2","432","36","41.8","294","49","36.2","372","31","41.8","300","50","36.2","360","30","41.8","258","43","36.2","444","37","41.8"
,"319.7999999999999","44","36.2","538.1999999999998","36","41.8","355.9999999999999","49","36.2","454.6000000000001","31","41.8","386.79999999999984","50","36.2","430.80000000000007","30","41.8","276.59999999999997","43","36.2","526.5999999999999","37","41.8"
,"387.9999999999998","44","36.2","585.3999999999996","36","41.8","448.9999999999997","49","36.2","560.7999999999998","31","41.8","423.9999999999998","50","36.2","489.80000000000007","30","41.8","375.7999999999998","43","36.2","597.3999999999996","37","41.8"
,"480.9999999999996","44","36.2","785.9999999999989","36","41.8","566.8000000000003","49","36.2","690.5999999999993","31","41.8","572.8000000000003","50","36.2","619.5999999999996","30","41.8","443.99999999999966","43","36.2","774.399999999999","37","41.8"
,"543","44","36.2","844.9999999999986","36","41.8","616.4000000000007","49","36.2","737.7999999999992","31","41.8","653.4000000000009","50","36.2","737.5999999999991","30","41.8","487.39999999999964","43","36.2","868.7999999999986","37","41.8"
,"716.6000000000013","44","36.2","1116.3999999999976","36","41.8","814.8000000000021","49","36.2","1009.1999999999982","31","41.8","820.8000000000021","50","36.2","914.5999999999984","30","41.8","661.0000000000009","43","36.2","1116.5999999999976","37","41.8"
,"716.6000000000013","44","36.2","1116.3999999999976","36","41.8","814.8000000000021","49","36.2","1009.1999999999982","31","41.8","820.8000000000021","50","36.2","914.5999999999984","30","41.8","661.0000000000009","43","36.2","1116.5999999999976","37","41.8"
,"809.600000000002","44","36.2","1316.9999999999968","36","41.8","932.600000000003","49","36.2","1138.9999999999977","31","41.8","969.6000000000032","50","36.2","1044.399999999998","30","41.8","729.2000000000014","43","36.2","1293.599999999997","37","41.8"
,"877.8000000000025","44","36.2","1364.1999999999966","36","41.8","1025.6000000000035","49","36.2","1245.1999999999973","31","41.8","1006.8000000000034","50","36.2","1103.3999999999978","30","41.8","828.4000000000021","43","36.2","1364.3999999999967","37","41.8"
,"995.6000000000033","44","36.2","1529.399999999996","36","41.8","1137.2000000000044","49","36.2","1374.9999999999968","31","41.8","1174.2000000000046","50","36.2","1292.199999999997","30","41.8","890.4000000000026","43","36.2","1541.399999999996","37","41.8"
,"995.6000000000033","44","36","1529.399999999996","36","41.6","1137.2000000000044","49","36","1374.9999999999968","31","41.6","1174.2000000000046","50","36","1292.199999999997","30","41.6","890.4000000000026","43","36","1541.399999999996","37","41.6"
,"1199.6000000000033","44","36","1888.9999999999932","36","41.6","1383.2000000000044","49","36","1688.1999999999944","31","41.6","1396.2000000000046","50","36","1524.1999999999953","30","41.6","1106.4000000000026","43","36","1877.7999999999934","37","41.6"
,"1199.6000000000033","44","36","1888.9999999999932","36","41.6","1383.2000000000044","49","36","1688.1999999999944","31","41.6","1396.2000000000046","50","36","1524.1999999999953","30","41.6","1106.4000000000026","43","36","1877.7999999999934","37","41.6"
,"1253.6000000000033","44","36","1993.3999999999924","36","41.6","1443.2000000000044","49","36","1769.3999999999937","31","41.6","1480.2000000000046","50","36","1593.7999999999947","30","41.6","1124.4000000000026","43","36","1958.9999999999927","37","41.6"
,"1379.6000000000033","44","36","2097.7999999999915","36","41.6","1581.2000000000044","49","36","1920.1999999999925","31","41.6","1594.2000000000046","50","36","1767.7999999999934","30","41.6","1262.4000000000026","43","36","2121.3999999999915","37","41.6"
,"1469.6000000000033","44","36","2294.99999999999","36","41.6","1695.2000000000044","49","36","2047.7999999999915","31","41.6","1738.2000000000046","50","36","1895.3999999999924","30","41.6","1328.4000000000026","43","36","2295.39999999999","37","41.6"
,"1469.6000000000033","44","36","2294.99999999999","36","41.6","1695.2000000000044","49","36","2047.7999999999915","31","41.6","1738.2000000000046","50","36","1895.3999999999924","30","41.6","1328.4000000000026","43","36","2295.39999999999","37","41.6"
,"1637.6000000000033","44","36","2561.799999999988","36","41.6","1887.2000000000044","49","36","2314.5999999999894","31","41.6","1900.2000000000046","50","36","2069.399999999991","30","41.6","1496.4000000000026","43","36","2538.999999999988","37","41.6"
,"1637.6000000000033","44","36","2561.799999999988","36","41.6","1887.2000000000044","49","36","2314.5999999999894","31","41.6","1900.2000000000046","50","36","2069.399999999991","30","41.6","1496.4000000000026","43","36","2538.999999999988","37","41.6"
,"1787.6000000000033","44","36","2816.999999999986","36","41.6","2049.2000000000044","49","36","2488.599999999988","31","41.6","2122.2000000000044","50","36","2312.999999999989","30","41.6","1604.4000000000026","43","36","2805.799999999986","37","41.6"
,"1853.6000000000033","44","36","2863.3999999999855","36","41.6","2139.2000000000044","49","36","2592.9999999999873","31","41.6","2158.2000000000044","50","36","2370.9999999999886","30","41.6","1700.4000000000026","43","36","2875.3999999999855","37","41.6"
,"1907.6000000000033","44","36.2","2967.7999999999847","36","41.4","2199.2000000000044","49","36.2","2674.1999999999866","31","41.4","2242.2000000000044","50","36.2","2440.599999999988","30","41.4","1718.4000000000026","43","36.2","2956.599999999985","37","41.4"
,"1907.6000000000033","44","36.2","2967.7999999999847","36","41.4","2199.2000000000044","49","36.2","2674.1999999999866","31","41.4","2242.2000000000044","50","36.2","2440.599999999988","30","41.4","1718.4000000000026","42","36.2","2956.599999999985","38","41.4"
,"2118.400000000001","44","36.2","3321.1999999999875","36","41.4","2453.399999999997","49","36.2","2981.999999999989","31","41.4","2471.5999999999976","50","36.2","2668.59999999999","30","41.4","1935.4000000000042","42","36.2","3298.5999999999876","38","41.4"
,"2180.399999999999","44","36.2","3378.199999999988","36","41.4","2502.9999999999955","49","36.2","3027.5999999999894","31","41.4","2552.1999999999953","50","36.2","2782.599999999991","30","41.4","1978.8000000000045","42","36.2","3389.7999999999884","38","41.4"
