"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S1_S2"
"03/19/2023 19:03:47:516 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"distance-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","148307.39999998396","40","39","147064.40000000413","40","38.4","141380.40000000512","36","38.6","265567.80000000144","44","42","210363.7999999737","40","37.8","150312.79999998707","40","35.6","188781.39999997933","40","39","60402.79999999887","40","32"
"[min]","0","40","36","0","36","36.4","0","36","35.8","0","38","39.6","0","39","36","0","31","34.4","0","40","36","0","31","30.8"
"[max]","148307.39999998396","44","39","147064.40000000413","40","42","141380.40000000512","42","38.6","265567.80000000144","44","42.6","210363.7999999737","49","37.8","150312.79999998707","41","42","188781.39999997933","49","39","60402.79999999887","40","42"
"[mean]","70211.43269999768","40.9715","37.82729999999986","72651.27790000281","39.0285","37.94970000000023","66923.67050000184","40.1925","37.45190000000026","127942.2451999924","39.779","41.48189999999964","103187.0293999952","41.4585","37.07930000000032","77423.6625999985","38.5415","35.87930000000029","90992.58139999936","41.717","37.82729999999986","39424.89590000117","38.283","33.00489999999982"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","44","36","0","36","42","0","42","36","0","38","42","0","49","36","0","31","42","0","49","36","0","31","42"
,"264","44","36.2","432","36","41.8","252","42","36.2","456","38","41.8","294","49","36.2","372","31","41.8","294","49","36.2","372","31","41.8"
,"264","43","36.2","432","37","41.8","252","42","36.2","456","38","41.8","294","49","36.2","372","31","41.8","294","49","36.2","372","31","41.8"
,"288.79999999999995","43","36.2","455.6","37","41.8","276.79999999999995","42","36.2","562.1999999999997","38","41.8","374.59999999999985","49","36.2","466.4000000000001","31","41.8","380.79999999999984","49","36.2","442.80000000000007","31","41.8"
,"319.7999999999999","43","36.2","538.1999999999998","37","41.8","332.59999999999985","42","36.2","621.1999999999995","38","41.8","523.4","49","36.2","560.7999999999998","31","41.8","424.19999999999976","49","36.2","537.1999999999999","31","41.8"
,"418.9999999999997","43","36.2","667.9999999999993","37","41.8","369.7999999999998","42","36.2","809.9999999999987","38","41.8","678.4000000000011","49","36.2","832.1999999999988","31","41.8","548.2000000000002","49","36.2","631.5999999999996","31","41.8"
,"437.5999999999997","43","36.2","726.9999999999991","37","41.8","431.79999999999967","42","36.2","904.3999999999984","38","41.8","678.4000000000011","49","36.2","832.1999999999988","31","41.8","573.0000000000003","49","36.2","678.7999999999994","31","41.8"
,"536.8","43","36.2","915.7999999999984","37","41.8","568.2000000000002","42","36.2","1140.3999999999976","38","41.8","907.8000000000028","49","36.2","1020.9999999999982","31","41.8","765.2000000000018","49","36.2","902.9999999999985","31","41.8"
,"586.4000000000003","43","36.2","951.1999999999982","37","41.8","617.8000000000005","42","36.2","1175.7999999999975","38","41.8","907.8000000000028","49","36.2","1020.9999999999982","31","41.8","790.0000000000019","49","36.2","926.5999999999984","31","41.8"
,"710.4000000000012","43","36.2","1128.1999999999975","37","41.8","655.0000000000008","42","36.2","1364.5999999999967","38","41.8","1062.8000000000038","49","36.2","1292.3999999999971","31","41.8","938.800000000003","49","36.2","1068.199999999998","31","41.8"
,"741.4000000000015","43","36.2","1210.7999999999972","37","41.8","710.8000000000012","42","36.2","1423.5999999999965","38","41.8","1211.600000000005","49","36.2","1386.7999999999968","31","41.8","982.2000000000033","49","36.2","1162.5999999999976","31","41.8"
,"784.8000000000018","43","36.2","1293.399999999997","37","41.8","797.6000000000018","42","36.2","1624.1999999999957","38","41.8","1292.2000000000055","49","36.2","1481.1999999999964","31","41.8","1093.800000000004","49","36.2","1280.5999999999972","31","41.8"
,"784.8000000000018","43","36.2","1293.399999999997","37","41.6","797.6000000000018","42","36.2","1624.1999999999957","38","41.6","1292.2000000000055","49","36.2","1481.1999999999964","31","41.6","1093.800000000004","49","36.2","1280.5999999999972","31","41.6"
,"958.400000000003","43","36.2","1583.3999999999946","37","41.6","946.4000000000029","42","36.2","1937.3999999999933","38","41.6","1596.0000000000077","49","36.2","1840.7999999999936","31","41.6","1323.2000000000057","49","36.2","1524.1999999999953","31","41.6"
,"958.400000000003","43","36.2","1583.3999999999946","37","41.6","946.4000000000029","42","36.2","1937.3999999999933","38","41.6","1596.0000000000077","49","36.2","1840.7999999999936","31","41.6","1323.2000000000057","49","36.2","1524.1999999999953","31","41.6"
,"1032.8000000000036","43","36.2","1641.3999999999942","37","41.6","1020.8000000000034","42","36.2","2076.599999999992","38","41.6","1676.6000000000083","49","36.2","1933.5999999999929","31","41.6","1434.8000000000065","49","36.2","1616.9999999999945","31","41.6"
,"1082.400000000004","43","36.2","1780.599999999993","37","41.6","1138.6000000000042","42","36.2","2227.399999999991","38","41.6","1825.4000000000094","49","36.2","2026.3999999999924","31","41.6","1503.000000000007","49","36.2","1756.1999999999935","31","41.6"
,"1206.4000000000049","43","36.2","1954.5999999999917","37","41.6","1175.8000000000045","42","36.2","2412.9999999999895","38","41.6","1980.4000000000106","49","36.2","2293.1999999999903","31","41.6","1651.8000000000081","49","36.2","1895.3999999999924","31","41.6"
,"1206.4000000000049","43","36.2","1954.5999999999917","37","41.6","1175.8000000000045","42","36.2","2412.9999999999895","38","41.6","1980.4000000000106","49","36.2","2293.1999999999903","31","41.6","1651.8000000000081","49","36.2","1895.3999999999924","31","41.6"
,"1305.6000000000056","43","36.2","2140.1999999999903","37","41.6","1312.2000000000055","42","36.2","2644.9999999999877","38","41.6","2209.800000000005","49","36.2","2478.799999999989","31","41.6","1844.0000000000095","49","36.2","2115.7999999999906","31","41.6"
,"1305.6000000000056","43","36.2","2140.1999999999903","37","41.6","1312.2000000000055","42","36.2","2644.9999999999877","38","41.6","2209.800000000005","49","36.2","2478.799999999989","31","41.6","1844.0000000000095","49","36.2","2115.7999999999906","31","41.6"
,"1423.4000000000065","43","36.2","2325.799999999989","37","41.6","1411.4000000000062","42","36.2","2923.3999999999855","38","41.6","2364.8000000000006","49","36.2","2745.5999999999867","31","41.6","1992.8000000000106","49","36.2","2254.9999999999895","31","41.6"
,"1504.000000000007","43","36.2","2441.799999999988","37","41.6","1516.800000000007","42","36.2","3016.199999999985","38","41.6","2513.5999999999963","49","36.2","2838.399999999986","31","41.6","2061.0000000000095","49","36.2","2370.9999999999886","31","41.6"
,"1528.8000000000072","43","36.2","2464.9999999999877","37","41.4","1541.6000000000072","42","36.2","3120.599999999984","38","41.4","2594.199999999994","49","36.2","2931.1999999999853","31","41.4","2147.800000000007","49","36.2","2440.599999999988","31","41.4"
,"1528.8000000000072","43","36.2","2464.9999999999877","37","41.4","1541.6000000000072","42","36.2","3120.599999999984","38","41.4","2594.199999999994","49","36.2","2931.1999999999853","31","41.4","2147.800000000007","49","36.2","2440.599999999988","31","41.4"
,"1727.2000000000087","43","36.2","2795.5999999999904","37","41.4","1690.4000000000083","42","36.2","3428.3999999999864","38","41.4","2897.999999999985","49","36.2","3284.599999999988","31","41.4","2401.9999999999995","49","36.2","2725.5999999999904","31","41.4"
