"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S4_S2_D_2"
"03/22/2023 01:08:26:064 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"distance-fraction","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","81966","39","31","88954.59999998115","41","31.2","273285","40","42","52970.20000000588","40","30.4","287285","40","42","156667.19999999143","40","36.8","191753","40","38","276065.60000001924","40","41.2"
"[min]","0","39","31","0","37","31.2","0","29","36","0","30","30.4","0","33","36","0","32","36.8","0","39","36","0","38","41.2"
"[max]","81966","43","41","88954.59999998115","41","42","273285","50","45","52970.20000000588","41","42","287285","48","44","156667.19999999143","40","42","191753","42","39","276065.60000001924","41","42"
"[mean]","58015.075","40.1755","33.736","62333.55509999577","39.8245","34.35689999999981","137962.6275","40.8475","42.3875","41355.51910000201","38.527","32.5035000000001","142617.4975","40.21","42.5525","80919.33289999506","39.321","37.5142999999997","95577.979","39.76","38.4665","138047.9899999975","40.24","41.39509999999948"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","43","36","0","37","42","0","50","36","0","30","42","0","48","36","0","32","42","0","42","36","0","38","42"
,"258","43","37","444","37","41.8","300","50","37","360","30","41.8","288","48","37","384","32","41.8","252","42","37","456","38","41.8"
,"258","43","37","444","37","41.8","300","50","37","360","30","41.8","288","48","37","384","32","41.8","252","41","37","456","39","41.8"
,"300","43","37","491.20000000000005","37","41.8","363","50","37","419.00000000000006","30","41.8","365","48","37","431.20000000000005","32","41.8","294","41","37","550.3999999999997","39","41.8"
,"363","43","37","561.9999999999998","37","41.8","433","50","37","513.4","30","41.8","414","48","37","490.20000000000005","32","41.8","378","41","37","680.1999999999992","39","41.8"
,"468","43","37","715.3999999999992","37","41.8","580","50","37","654.9999999999994","30","41.8","568","48","37","619.9999999999995","32","41.8","469","41","37","845.3999999999986","39","41.8"
,"531","43","37","821.5999999999988","37","41.8","664","50","37","737.5999999999991","30","41.8","638","48","37","726.1999999999991","32","41.8","525","41","37","951.5999999999982","39","41.8"
,"706","43","37","1045.799999999998","37","41.8","846","50","37","926.3999999999984","30","41.8","827","48","37","914.9999999999984","32","41.8","707","41","37","1234.7999999999972","39","41.8"
,"706","43","37","1045.799999999998","37","41.8","846","50","37","926.3999999999984","30","41.8","827","48","37","914.9999999999984","32","41.8","707","41","37","1234.7999999999972","39","41.8"
,"811","43","37","1199.1999999999973","37","41.8","993","50","37","1067.999999999998","30","41.8","981","48","37","1044.799999999998","32","41.8","798","41","37","1399.9999999999966","39","41.8"
,"874","43","37","1269.999999999997","37","41.8","1063","50","37","1162.3999999999976","30","41.8","1030","48","37","1103.7999999999977","32","41.8","882","41","37","1529.799999999996","39","41.8"
,"979","43","37","1423.3999999999965","37","41.8","1210","50","37","1303.999999999997","30","41.8","1177","48","37","1257.199999999997","32","41.8","980","41","37","1730.3999999999953","39","41.8"
,"979","43","36","1423.3999999999965","37","41.6","1210","50","36","1303.999999999997","30","41.6","1177","48","36","1257.199999999997","32","41.6","980","41","36","1730.3999999999953","39","41.6"
,"1183","43","36","1748.199999999994","37","41.6","1438","50","36","1570.799999999995","30","41.6","1405","48","36","1523.999999999995","32","41.6","1184","42","36","2066.799999999993","38","41.6"
,"1183","43","36","1748.199999999994","37","41.6","1438","50","36","1570.799999999995","30","41.6","1405","48","36","1523.999999999995","32","41.6","1184","42","36","2066.799999999993","38","41.6"
,"1219","43","36","1794.5999999999935","37","41.6","1492","50","36","1628.7999999999945","30","41.6","1471","48","36","1570.3999999999946","32","41.6","1220","42","36","2159.599999999992","38","41.6"
,"1327","43","36","1968.5999999999922","37","41.6","1624","50","36","1802.7999999999931","30","41.6","1573","48","36","1732.7999999999934","32","41.6","1340","42","36","2391.5999999999904","38","41.6"
,"1417","43","36","2119.399999999991","37","41.6","1750","50","36","1941.999999999992","30","41.6","1705","48","36","1860.3999999999924","32","41.6","1418","42","36","2553.999999999989","38","41.6"
,"1417","43","36","2119.399999999991","37","41.6","1750","50","36","1941.999999999992","30","41.6","1705","48","36","1860.3999999999924","32","41.6","1418","42","36","2553.999999999989","38","41.6"
,"1567","43","36","2339.7999999999893","37","41.6","1906","50","36","2127.599999999991","30","41.6","1867","48","36","2045.999999999991","32","41.6","1580","42","36","2820.799999999987","38","41.6"
,"1567","43","36","2339.7999999999893","37","41.6","1906","50","36","2127.599999999991","30","41.6","1867","48","36","2045.999999999991","32","41.6","1580","42","36","2820.799999999987","38","41.6"
,"1711","43","36","2594.9999999999873","37","41.6","2104","50","36","2347.999999999989","30","41.6","2059","48","36","2277.999999999989","32","41.6","1706","42","36","3087.599999999985","38","41.6"
,"1765","43","36","2664.5999999999867","37","41.6","2164","50","36","2440.7999999999884","30","41.6","2101","48","36","2335.9999999999886","32","41.6","1778","42","36","3215.199999999984","38","41.6"
,"1801","43","37","2710.9999999999864","37","41.4","2218","50","37","2498.799999999988","30","41.4","2167","48","37","2382.3999999999883","32","41.4","1814","42","37","3307.999999999983","38","41.4"
,"1801","43","37","2710.9999999999864","37","41.4","2218","50","37","2498.799999999988","30","41.4","2167","48","37","2382.3999999999883","32","41.4","1814","41","37","3307.999999999983","39","41.4"
,"2039","43","37","3030.199999999989","37","41.4","2484","50","37","2760.99999999999","30","41.4","2433","48","37","2644.5999999999904","32","41.4","2045","41","37","3649.999999999986","39","41.4"
,"2102","43","37","3132.7999999999897","37","41.4","2568","50","37","2840.7999999999906","30","41.4","2503","48","37","2747.199999999991","32","41.4","2101","41","37","3752.5999999999867","39","41.4"
,"2144","43","37","3178.39999999999","37","41.4","2631","50","37","2897.799999999991","30","41.4","2580","48","37","2792.7999999999915","32","41.4","2143","41","37","3843.7999999999874","39","41.4"
,"2207","43","37","3246.7999999999906","37","41.4","2701","50","37","2988.999999999992","30","41.4","2629","48","37","2849.799999999992","32","41.4","2227","41","37","3969.1999999999884","39","41.4"
,"2312","43","37","3394.999999999992","37","41.4","2848","50","37","3125.799999999993","30","41.4","2783","48","37","2975.199999999993","32","41.4","2318","41","37","4128.799999999987","39","41.4"
,"2312","43","37","3394.999999999992","37","41.4","2848","50","37","3125.799999999993","30","41.4","2783","48","37","2975.199999999993","32","41.4","2318","41","37","4128.799999999987","39","41.4"
,"2550","43","37","3714.1999999999944","37","41.4","3114","50","37","3387.999999999995","30","41.4","3042","48","37","3260.1999999999953","32","41.4","2556","41","37","4504.999999999975","39","41.4"
,"2550","43","37","3714.1999999999944","37","41.4","3114","50","37","3387.999999999995","30","41.4","3042","48","37","3260.1999999999953","32","41.4","2556","41","37","4504.999999999975","39","41.4"
,"2655","43","37","3862.3999999999955","37","41.4","3261","50","37","3524.799999999996","30","41.4","3196","48","37","3385.5999999999963","32","41.4","2647","41","37","4664.59999999997","39","41.4"
,"2718","43","38","3930.799999999996","37","41.2","3331","50","38","3615.999999999997","30","41.2","3245","48","38","3442.5999999999967","32","41.2","2731","41","38","4789.999999999966","39","41.2"
,"2766","42","38","3975.5999999999954","38","41.2","3395","49","38","3683.1999999999957","31","41.2","3333","48","38","3487.399999999996","32","41.2","2779","40","38","4879.599999999965","40","41.2"
