"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S1_S2_price_10"
"03/23/2023 17:20:25:572 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"distance-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","139451.6000000142","37","34.2","100879.5999999975","43","33.6","142332.20000001404","38","34.2","108044.60000000283","42","34","169268.99999997613","40","39","140189.4000000051","40","38.4","175819.80000005057","37","38.2","148395.19999999888","43","38.8"
"[min]","0","37","34.2","0","0","33.6","0","38","34.2","0","0","34","0","36","36","0","0","36","0","32","36","0","0","37.2"
"[max]","139451.6000000142","80","36.8","100879.5999999975","43","42","142332.20000001404","80","36.8","108044.60000000283","42","42","169268.99999997613","80","39","140189.4000000051","44","42","175819.80000005057","80","38.2","148395.19999999888","48","42"
"[mean]","80738.9429000046","44.234","35.774699999999974","48759.64189999997","35.766","35.92410000000009","81922.14730000436","44.1875","35.774699999999974","52221.11210000024","35.8125","36.264499999999956","87139.9782999991","45.025","37.80289999999976","59144.42710000163","34.975","37.76049999999987","90223.49780001689","44.44","37.5400999999997","64786.85030000231","35.56","38.70590000000032"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","80","36","0","0","42","0","80","36","0","0","42","0","80","36","0","0","42","0","80","36","0","0","42"
,"480","80","36.2","0","0","41.8","480","80","36.2","0","0","41.8","480","80","36.2","0","0","41.8","480","80","36.2","0","0","41.8"
,"480","80","36.2","0","0","41.8","480","80","36.2","0","0","41.8","480","80","36.2","0","0","41.8","480","80","36.2","0","0","41.8"
,"554.4000000000005","80","36.2","0","0","41.8","566.8000000000006","80","36.2","0","0","41.8","535.8000000000004","80","36.2","0","0","41.8","560.6000000000006","80","36.2","0","0","41.8"
,"659.8000000000013","80","36.2","0","0","41.8","659.8000000000013","80","36.2","0","0","41.8","635.0000000000011","80","36.2","0","0","41.8","622.600000000001","80","36.2","0","0","41.8"
,"802.4000000000024","80","36.2","0","0","41.8","821.0000000000025","80","36.2","0","0","41.8","783.8000000000022","80","36.2","0","0","41.8","771.4000000000021","80","36.2","0","0","41.8"
,"889.200000000003","80","36.2","0","0","41.8","883.000000000003","80","36.2","0","0","41.8","858.2000000000028","80","36.2","0","0","41.8","870.6000000000029","80","36.2","0","0","41.8"
,"1162.000000000005","80","36.2","0","0","41.8","1162.000000000005","80","36.2","0","0","41.8","1137.2000000000048","80","36.2","0","0","41.8","1131.0000000000048","80","36.2","0","0","41.8"
,"1230.2000000000055","80","36.2","0","0","41.8","1242.6000000000056","80","36.2","0","0","41.8","1186.8000000000052","80","36.2","0","0","41.8","1199.2000000000053","80","36.2","0","0","41.8"
,"1372.8000000000065","80","36.2","0","0","41.8","1403.8000000000068","80","36.2","0","0","41.8","1335.6000000000063","80","36.2","0","0","41.8","1348.0000000000064","80","36.2","0","0","41.8"
,"1478.2000000000073","80","36.2","0","0","41.8","1496.8000000000075","80","36.2","0","0","41.8","1434.800000000007","80","36.2","0","0","41.8","1410.0000000000068","80","36.2","0","0","41.8"
,"1639.4000000000085","80","36.2","0","0","41.8","1645.6000000000085","80","36.2","0","0","41.8","1565.000000000008","80","36.2","0","0","41.8","1589.8000000000081","80","36.2","0","0","41.8"
,"1639.4000000000085","80","36.2","0","0","41.6","1645.6000000000085","80","36.2","0","0","41.6","1565.000000000008","80","36.2","0","0","41.6","1589.8000000000081","80","36.2","0","0","41.6"
,"1980.400000000011","80","36.2","0","0","41.6","1999.0000000000111","80","36.2","0","0","41.6","1937.0000000000107","80","36.2","0","0","41.6","1918.4000000000106","80","36.2","0","0","41.6"
,"1980.400000000011","80","36.2","0","0","41.6","1999.0000000000111","80","36.2","0","0","41.6","1937.0000000000107","80","36.2","0","0","41.6","1918.4000000000106","80","36.2","0","0","41.6"
,"2123.000000000008","80","36.2","0","0","41.6","2166.400000000007","80","36.2","0","0","41.6","2042.4000000000106","80","36.2","0","0","41.6","2067.20000000001","80","36.2","0","0","41.6"
,"2315.2000000000025","80","36.2","0","0","41.6","2321.4000000000024","80","36.2","0","0","41.6","2216.0000000000055","80","36.2","0","0","41.6","2228.400000000005","80","36.2","0","0","41.6"
,"2457.7999999999984","80","36.2","0","0","41.6","2482.5999999999976","80","36.2","0","0","41.6","2364.800000000001","80","36.2","0","0","41.6","2377.2000000000007","80","36.2","0","0","41.6"
,"2457.7999999999984","80","36.2","0","0","41.6","2482.5999999999976","80","36.2","0","0","41.6","2364.800000000001","80","36.2","0","0","41.6","2377.2000000000007","80","36.2","0","0","41.6"
,"2730.5999999999904","80","36.2","0","0","41.6","2761.5999999999894","80","36.2","0","0","41.6","2643.799999999993","80","36.2","0","0","41.6","2637.599999999993","80","36.2","0","0","41.6"
,"2730.5999999999904","80","36.2","0","0","41.6","2761.5999999999894","80","36.2","0","0","41.6","2643.799999999993","80","36.2","0","0","41.6","2637.599999999993","80","36.2","0","0","41.6"
,"2959.9999999999836","80","36.2","0","0","41.6","2984.799999999983","80","36.2","0","0","41.6","2866.9999999999864","80","36.2","0","0","41.6","2885.599999999986","80","36.2","0","0","41.6"
,"3133.5999999999785","80","36.2","0","0","41.6","3158.399999999978","80","36.2","0","0","41.6","3015.799999999982","80","36.2","0","0","41.6","3015.799999999982","80","36.2","0","0","41.6"
,"3207.9999999999764","80","36.2","0","0","41.4","3245.1999999999753","80","36.2","0","0","41.4","3071.5999999999804","80","36.2","0","0","41.4","3096.3999999999796","80","36.2","0","0","41.4"
,"3207.9999999999764","80","36.2","0","0","41.4","3245.1999999999753","80","36.2","0","0","41.4","3071.5999999999804","80","36.2","0","0","41.4","3096.3999999999796","80","36.2","0","0","41.4"
,"3548.9999999999663","80","36.2","0","0","41.4","3598.599999999965","80","36.2","0","0","41.4","3443.5999999999694","80","36.2","0","0","41.4","3424.99999999997","80","36.2","0","0","41.4"
,"3635.799999999964","80","36.2","0","0","41.4","3660.599999999963","80","36.2","0","0","41.4","3517.9999999999673","80","36.2","0","0","41.4","3524.199999999967","80","36.2","0","0","41.4"
,"3710.1999999999616","80","36.2","0","0","41.4","3747.3999999999605","80","36.2","0","0","41.4","3573.7999999999656","80","36.2","0","0","41.4","3604.7999999999647","80","36.2","0","0","41.4"
,"3815.5999999999585","80","36.2","0","0","41.4","3840.399999999958","80","36.2","0","0","41.4","3672.9999999999627","80","36.2","0","0","41.4","3666.799999999963","80","36.2","0","0","41.4"
,"4026.3999999999523","80","36.2","0","0","41.4","4082.1999999999507","80","36.2","0","0","41.4","3871.399999999957","80","36.2","0","0","41.4","3883.7999999999565","80","36.2","0","0","41.4"
,"4026.3999999999523","80","36.2","0","0","41.4","4082.1999999999507","80","36.2","0","0","41.4","3871.399999999957","80","36.2","0","0","41.4","3883.7999999999565","80","36.2","0","0","41.4"
,"4385.999999999942","80","36.2","0","0","41.4","4423.199999999941","80","36.2","0","0","41.4","4224.7999999999465","80","36.2","0","0","41.4","4243.399999999946","80","36.2","0","0","41.4"
,"4385.999999999942","80","36.2","0","0","41.4","4423.199999999941","80","36.2","0","0","41.4","4224.7999999999465","80","36.2","0","0","41.4","4243.399999999946","80","36.2","0","0","41.4"
