,"1908.3306501899954","41","42.27190844360044","1714.4961212930668","39","40.55950412053035","1908.3306501899954","41","42.27190844360044","1446.7442209280348","40","40.178419771167114","997.6748079951863","40","35.80234999577337","1446.7442209280348","40","40.178419771167114","793.7192888145682","14","44.10713058902845","1073.7110302062968","60","34.37035019721334","793.7192888145682","14","44.10713058902845","576.5195539338399","38","33.603786150159124","680.9538012468662","42","34.77090295094139","576.5195539338399","38","33.603786150159124"
,"1908.3306501899954","41","42.27190844360044","1714.4961212930668","39","40.55950412053035","1908.3306501899954","41","42.27190844360044","1446.7442209280348","40","40.178419771167114","997.6748079951863","40","35.80234999577337","1446.7442209280348","40","40.178419771167114","793.7192888145682","20","44.10713058902845","1073.7110302062968","60","34.37035019721334","793.7192888145682","20","44.10713058902845","576.5195539338399","38","33.603786150159124","680.9538012468662","42","34.77090295094139","576.5195539338399","38","33.603786150159124"
,"2006.5059177387996","41","42.27190844360044","1915.1266995831443","39","40.55950412053035","2006.5059177387996","41","42.27190844360044","1579.0636779532088","40","40.178419771167114","1102.1171079191054","40","36.025696889532696","1579.0636779532088","40","40.178419771167114","807.8264194035967","17","44.10713058902845","1161.1180341505644","60","34.37035019721334","807.8264194035967","17","44.10713058902845","634.180132336385","38","33.603786150159124","747.7464425600455","42","35.519176430554026","634.180132336385","38","33.603786150159124"
,"2239.6721781672054","41","42.27190844360044","2031.2812449089784","39","40.55950412053035","2239.6721781672054","41","42.27190844360044","1741.9183942918844","40","40.46147215111981","1156.3483799249007","40","36.025696889532696","1741.9183942918844","40","40.46147215111981","878.3620723487388","17","44.10713058902845","1239.7843377004053","60","34.37035019721334","878.3620723487388","17","44.10713058902845","681.0293522884529","38","33.603786150159124","813.9765597266936","42","35.519176430554026","681.0293522884529","38","33.603786150159124"
,"2362.3912626032084","41","42.605209889243405","2168.5547984758705","39","40.37598892827924","2362.3912626032084","41","42.605209889243405","1836.0716436519624","40","40.46147215111981","1258.7852270469584","40","36.025696889532696","1836.0716436519624","40","40.46147215111981","934.7905947048525","17","44.10713058902845","1340.3023922363132","60","34.37035019721334","934.7905947048525","17","44.10713058902845","724.2747860903617","38","33.603786150159124","880.2066768933418","42","35.519176430554026","724.2747860903617","38","33.603786150159124"
,"2362.3912626032084","40","42.605209889243405","2168.5547984758705","40","40.37598892827924","2362.3912626032084","40","42.605209889243405","1836.0716436519624","40","40.46147215111981","1258.7852270469584","40","36.025696889532696","1836.0716436519624","40","40.46147215111981","934.7905947048525","20","44.10713058902845","1340.3023922363132","60","34.37035019721334","934.7905947048525","20","44.10713058902845","724.2747860903617","38","33.603786150159124","880.2066768933418","42","35.519176430554026","724.2747860903617","38","33.603786150159124"
,"2589.285040609587","39","42.605209889243405","2396.8265548980125","40","40.37598892827924","2589.285040609587","39","42.605209889243405","2024.3781423721184","40","40.46147215111981","1403.4019523957459","40","36.025696889532696","2024.3781423721184","40","40.46147215111981","1061.7547700061084","14","44.10713058902845","1480.1535985471414","60","34.37035019721334","1061.7547700061084","14","44.10713058902845","796.350509093543","38","33.603786150159124","968.5134997822059","42","35.519176430554026","796.350509093543","38","33.603786150159124"
,"2589.285040609587","40","42.605209889243405","2396.8265548980125","40","40.37598892827924","2589.285040609587","40","42.605209889243405","2024.3781423721184","40","40.46147215111981","1403.4019523957459","40","36.025696889532696","2024.3781423721184","40","40.46147215111981","1061.7547700061084","20","44.10713058902845","1480.1535985471414","60","34.37035019721334","1061.7547700061084","20","44.10713058902845","796.350509093543","38","33.603786150159124","968.5134997822059","42","35.519176430554026","796.350509093543","38","33.603786150159124"
,"2803.573608726723","40","42.605209889243405","2593.970344535317","40","40.37598892827924","2803.573608726723","40","42.605209889243405","2223.146113243394","40","40.65709119675006","1523.915890186402","40","36.025696889532696","2223.146113243394","40","40.65709119675006","1146.397553540279","17","43.956554528558","1628.7455052523965","60","34.37035019721334","1146.397553540279","17","43.956554528558","854.0110874960881","38","33.491864989216644","1078.8970283932879","42","35.519176430554026","854.0110874960881","38","33.491864989216644"
,"3005.256966954615","39","42.605209889243405","2749.610178459505","40","40.37598892827924","3005.256966954615","39","42.605209889243405","2372.345389997896","40","40.65709119675006","1602.2499497503286","40","36.025696889532696","2372.345389997896","40","40.65709119675006","1188.2672171259528","17","43.956554528558","1689.9304080133838","60","34.37035019721334","1188.2672171259528","17","43.956554528558","916.8646573019878","38","33.491864989216644","1156.1654984210456","42","35.519176430554026","916.8646573019878","38","33.491864989216644"
,"3030.4673867331016","40","42.605209889243405","2853.3700677422967","40","40.37598892827924","3030.4673867331016","40","42.605209889243405","2425.6308459816464","40","40.65709119675006","1668.5326155351895","40","36.025696889532696","2425.6308459816464","40","40.65709119675006","1202.2237716545108","17","43.956554528558","1746.7449605771578","60","34.98346444039418","1202.2237716545108","17","43.956554528558","941.3077122265043","38","33.491864989216644","1178.2422041432621","42","35.519176430554026","941.3077122265043","38","33.491864989216644"
,"3030.4673867331016","40","42.605209889243405","2853.3700677422967","40","40.37598892827924","3030.4673867331016","40","42.605209889243405","2425.6308459816464","40","40.65709119675006","1668.5326155351895","40","36.025696889532696","2425.6308459816464","40","40.65709119675006","1202.2237716545108","20","43.956554528558","1746.7449605771578","60","34.98346444039418","1202.2237716545108","20","43.956554528558","941.3077122265043","38","33.491864989216644","1178.2422041432621","42","35.519176430554026","941.3077122265043","38","33.491864989216644"
,"3358.2028438534267","39","42.60476638962689","3112.7697909492763","40","41.14276637885186","3358.2028438534267","39","42.60476638962689","2660.086852310149","40","40.65709119675006","1849.3035222211738","40","36.025696889532696","2660.086852310149","40","40.65709119675006","1369.702425997206","14","43.956554528558","1956.050467073709","60","34.98346444039418","1369.702425997206","14","43.956554528558","1028.6043369569195","38","33.491864989216644","1310.7024384765612","42","35.519176430554026","1028.6043369569195","38","33.491864989216644"
,"3446.4362085808157","41","42.60476638962689","3179.626389222387","39","41.14276637885186","3446.4362085808157","41","42.60476638962689","2766.65776427765","40","41.51721363247606","1867.3806128897722","40","36.025696889532696","2766.65776427765","40","41.51721363247606","1397.615535054322","20","43.956554528558","2010.8685759180437","60","34.98346444039418","1397.615535054322","20","43.956554528558","1042.5717969137856","38","33.491864989216644","1354.8558499209942","42","35.519176430554026","1042.5717969137856","38","33.491864989216644"
,"3471.6457413600697","41","42.60476638962689","3291.0540530109047","39","41.14276637885186","3471.6457413600697","41","42.60476638962689","2812.7266188075537","39","41.51721363247606","1939.688975564166","41","36.025696889532696","2812.7266188075537","39","41.51721363247606","1411.57208958288","17","43.956554528558","2075.653613643167","60","34.98346444039418","1411.57208958288","17","43.956554528558","1067.0148518383014","38","33.491864989216644","1376.9325556432107","42","35.519176430554026","1067.0148518383014","38","33.491864989216644"
,"3610.2981716459667","40","42.60476638962689","3346.7678849051636","39","41.14276637885186","3610.2981716459667","40","42.60476638962689","2881.829900602409","39","41.51721363247606","1975.8431569013628","41","36.025696889532696","2881.829900602409","39","41.51721363247606","1453.4417531685538","17","43.956554528558","2110.5378647259254","60","34.98346444039418","1453.4417531685538","17","43.956554528558","1098.4416367412502","38","33.491864989216644","1399.0092613654272","42","35.519176430554026","1098.4416367412502","38","33.491864989216644"
