"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S2_S2_D_10"
"03/21/2023 18:18:11:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"distance-fraction","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","12302.400000011665","34","30.2","327130.20000008726","46","42","14042.600000011853","37","30.2","308743.40000002447","43","42","300784.4000000536","45","42","43323.79999995777","35","30.2","13756.60000001297","36","30.2","289366.6000000406","44","42"
"[min]","0","32","30.2","0","44","42","0","35","30.2","0","38","42","0","40","36","0","31","30.2","0","35","30.2","0","38","42"
"[max]","12302.400000011665","34","36","327130.20000008726","48","42.4","14042.600000011853","38","36","308743.40000002447","45","42.8","300784.4000000536","49","42.8","43323.79999995777","35","42","13756.60000001297","36","36","289366.6000000406","45","42.8"
"[mean]","9944.007800004887","33.9485","30.6494999999989","163825.14600001194","45.8835","42.19249999999908","11234.316200005016","37.35","30.663799999999096","154852.2420000015","41.9895","42.33109999999961","140802.5482000135","45.229","41.09609999999937","36915.42989998588","34.49","32.0879999999986","11143.388700005466","35.988","30.6494999999989","144833.83490000558","43.1125","42.212299999999246"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","32","36","0","48","42","0","35","36","0","45","42","0","49","36","0","31","42","0","35","36","0","45","42"
,"192","32","35.8","576","48","42.2","210","35","35.8","540","45","42.2","294","49","36.2","372","31","41.8","210","35","35.8","540","45","42.2"
,"192","33","35.8","576","47","42.2","210","35","35.8","540","45","42.2","294","48","36.2","372","32","41.8","210","35","35.8","540","45","42.2"
,"215.20000000000005","33","35.8","710.2000000000005","47","42.2","244.80000000000007","35","35.8","686.4000000000005","45","42.2","362.1999999999999","48","36.2","466.4000000000001","32","41.8","244.80000000000007","35","35.8","662.0000000000005","44","42.2"
,"273.20000000000016","33","35.8","807.8000000000009","47","42.2","314.4000000000002","35","35.8","784.0000000000009","45","42.2","424.19999999999976","48","36.2","584.3999999999997","32","41.8","297.00000000000017","35","35.8","710.8000000000006","45","42.2"
,"337.0000000000003","33","35.8","1064.0000000000018","47","42.2","366.6000000000003","35","35.8","1003.6000000000017","44","42.2","554.4000000000002","48","36.2","714.1999999999992","32","41.8","378.20000000000033","35","35.8","954.8000000000015","43","42.2"
,"360.20000000000033","33","35.8","1149.4000000000021","47","42.2","401.4000000000004","35","35.8","1089.000000000002","45","42.2","616.4000000000007","48","36.2","773.199999999999","32","41.8","418.8000000000004","35","35.8","1052.400000000002","43","42.2"
,"487.8000000000005","33","35.8","1515.4000000000035","47","42.2","552.1999999999999","35","35.8","1442.8000000000034","43","42.2","790.0000000000019","48","36.2","1056.399999999998","32","41.8","534.8000000000001","35","35.8","1333.000000000003","44","42.2"
,"487.8000000000005","33","35.8","1515.4000000000035","47","42.2","552.1999999999999","35","35.8","1442.8000000000034","45","42.2","790.0000000000019","48","36.2","1056.399999999998","32","41.8","534.8000000000001","35","35.8","1333.000000000003","45","42.2"
,"551.6","33","35.8","1771.6000000000045","47","42.2","604.3999999999995","35","35.8","1662.4000000000042","44","42.2","920.2000000000029","48","36.2","1186.1999999999975","32","41.8","615.9999999999994","35","35.8","1577.0000000000039","43","42.2"
,"609.5999999999996","33","35.8","1869.2000000000048","47","42.2","673.999999999999","35","35.8","1760.0000000000045","45","42.2","982.2000000000033","48","36.2","1304.199999999997","32","41.8","668.199999999999","35","35.8","1625.800000000004","45","42.2"
,"655.9999999999992","33","35.8","2088.8000000000043","47","42.2","743.5999999999984","35","35.8","1991.8000000000054","45","42.2","1112.4000000000042","48","36.2","1457.5999999999965","32","41.8","743.5999999999984","35","35.8","1845.4000000000049","42","42.2"
,"655.9999999999992","33","35.6","2088.8000000000043","47","42","743.5999999999984","35","35.6","1991.8000000000054","45","42","1112.4000000000042","48","36","1457.5999999999965","32","41.6","743.5999999999984","35","35.6","1845.4000000000049","45","42"
,"818.3999999999999","33","35.6","2568.8000000000043","47","42","905.9999999999991","35","35.6","2447.8000000000056","45","42","1340.4000000000042","48","36","1770.799999999994","32","41.6","900.3999999999991","35","35.6","2265.400000000005","45","42"
,"818.3999999999999","33","35.6","2568.8000000000043","47","42","905.9999999999991","35","35.6","2447.8000000000056","45","42","1340.4000000000042","48","36","1770.799999999994","32","41.6","900.3999999999991","35","35.6","2265.400000000005","45","42"
,"840.8","33","35.6","2700.8000000000043","47","42","939.5999999999992","35","35.6","2591.8000000000056","45","42","1406.4000000000042","48","36","1863.5999999999933","32","41.6","933.9999999999992","35","35.6","2397.400000000005","45","42"
,"919.2000000000003","33","35.6","2880.8000000000043","47","42","1040.3999999999987","35","35.6","2771.8000000000056","45","42","1526.4000000000042","48","36","2037.5999999999922","32","41.6","1023.599999999999","35","35.6","2565.400000000005","45","42"
,"980.8000000000005","33","35.6","3132.8000000000043","47","42","1090.799999999998","35","35.6","2999.8000000000056","45","42","1652.4000000000042","48","36","2165.199999999991","32","41.6","1101.9999999999977","35","35.6","2829.400000000005","45","42"
,"980.8000000000005","33","35.6","3132.8000000000043","47","42","1090.799999999998","35","35.6","2999.8000000000056","45","42","1652.4000000000042","48","36","2165.199999999991","32","41.6","1101.9999999999977","35","35.6","2829.400000000005","45","42"
,"1103.9999999999989","33","35.6","3492.8000000000043","47","42","1236.3999999999955","35","35.6","3371.8000000000056","45","42","1820.4000000000042","48","36","2443.599999999989","32","41.6","1213.999999999996","35","35.6","3117.400000000005","45","42"
,"1103.9999999999989","33","35.6","3492.8000000000043","47","42","1236.3999999999955","35","35.6","3371.8000000000056","45","42","1820.4000000000042","48","36","2443.599999999989","32","41.6","1213.999999999996","35","35.6","3117.400000000005","45","42"
,"1187.9999999999975","33","35.6","3828.8000000000043","47","42","1320.3999999999942","35","35.6","3683.8000000000056","45","42","2006.4000000000042","48","36","2629.1999999999875","32","41.6","1331.599999999994","35","35.6","3501.400000000005","45","42"
,"1243.9999999999966","33","35.6","3924.8000000000043","47","42","1387.599999999993","35","35.6","3779.8000000000056","45","42","2066.400000000004","48","36","2745.1999999999866","32","41.6","1381.9999999999932","35","35.6","3549.400000000005","45","42"
,"1266.3999999999962","33","35.4","4056.8000000000043","47","42.2","1421.1999999999925","35","35.4","3923.8000000000056","45","42.2","2132.400000000004","48","36.2","2837.999999999986","32","41.4","1415.5999999999926","35","35.4","3681.400000000005","45","42.2"
,"1266.3999999999962","33","35.4","4056.8000000000043","47","42.2","1421.1999999999925","35","35.4","3923.8000000000056","45","42.2","2132.400000000004","48","36.2","2837.999999999986","32","41.4","1415.5999999999926","36","35.4","3681.400000000005","44","42.2"
,"1422.9999999999989","33","35.4","4544.799999999997","47","42.2","1577.7999999999952","35","35.4","4350.799999999999","42","42.2","2367.9999999999973","48","36.2","3145.7999999999884","32","41.4","1572.1999999999953","36","35.4","4071.7999999999993","42","42.2"
,"1444.5999999999992","33","35.4","4630.199999999996","47","42.2","1610.1999999999957","35","35.4","4436.199999999998","45","42.2","2429.9999999999955","48","36.2","3202.799999999989","32","41.4","1609.999999999996","36","35.4","4169.399999999998","42","42.2"
