"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S6_S2_D_10"
"03/22/2023 16:37:52:769 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"distance-fraction","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","243974","41","40","175153.7999999979","39","36","275050","41","40","54807.59999998007","39","30.2","272950","40","40","89679.6000000334","40","31.6","232424","41","40","74425.39999996303","39","30.2"
"[min]","0","28","36","0","38","35.6","0","26","36","0","36","30.2","0","29","36","0","39","31.6","0","18","36","0","37","30.2"
"[max]","243974","42","44","175153.7999999979","40","42","275050","44","46","54807.59999998007","39","42","272950","41","44","89679.6000000334","41","42","232424","43","46","74425.39999996303","40","42"
"[mean]","121919.811","39.6105","41.835","95155.74589999813","39.604","37.10409999999997","137732.926","40.592","42.429","44489.074999994926","38.4745","32.667699999999115","136984.687","39.914","41.307","61654.97030000803","39.7735","34.23310000000065","115521.159","40.1725","42.033","58996.67829999138","38.943","33.32109999999909"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","42","36","0","38","42","0","44","36","0","36","42","0","41","36","0","39","42","0","43","36","0","37","42"
,"252","42","38","456","38","41.8","264","44","38","432","36","41.8","246","41","38","468","39","41.8","258","43","38","444","37","41.8"
,"252","42","38","456","38","41.8","264","44","38","432","36","41.8","246","41","38","468","39","41.8","258","43","38","444","37","41.8"
,"300","42","38","562.1999999999997","38","41.8","344","44","38","502.79999999999995","36","41.8","334","41","38","515.1999999999999","39","41.8","298","43","38","538.3999999999999","37","41.8"
,"412","42","38","691.9999999999992","38","41.8","400","44","38","573.5999999999997","36","41.8","398","41","38","609.5999999999996","39","41.8","370","43","38","597.3999999999996","37","41.8"
,"508","42","38","833.5999999999987","38","41.8","552","44","38","726.9999999999991","36","41.8","558","41","38","798.3999999999988","39","41.8","490","43","38","786.1999999999989","37","41.8"
,"572","42","38","880.7999999999985","38","41.8","624","44","38","809.5999999999988","36","41.8","598","41","38","904.5999999999984","39","41.8","578","43","38","880.5999999999985","37","41.8"
,"796","42","38","1246.5999999999972","38","41.8","832","44","38","1069.1999999999978","36","41.8","814","41","38","1116.9999999999977","39","41.8","754","43","38","1128.3999999999976","37","41.8"
,"796","42","38","1246.5999999999972","38","41.8","832","44","38","1069.1999999999978","36","41.8","814","41","38","1116.9999999999977","39","41.8","754","43","38","1128.3999999999976","37","41.8"
,"892","42","38","1388.1999999999966","38","41.8","984","44","38","1222.5999999999972","36","41.8","974","41","38","1305.799999999997","39","41.8","874","43","38","1317.1999999999969","37","41.8"
,"1004","42","38","1517.9999999999961","38","41.8","1040","44","38","1293.399999999997","36","41.8","1038","41","38","1400.1999999999966","39","41.8","946","43","38","1376.1999999999966","37","41.8"
,"1116","42","38","1671.3999999999955","38","41.8","1192","44","38","1446.7999999999963","36","41.8","1166","41","38","1553.599999999996","39","41.8","1074","43","38","1564.999999999996","37","41.8"
,"1116","42","36","1671.3999999999955","38","41.6","1192","44","36","1446.7999999999963","36","41.6","1166","41","36","1553.599999999996","39","41.6","1074","43","36","1564.999999999996","37","41.6"
,"1320","42","36","2065.7999999999925","38","41.6","1402","44","36","1783.1999999999937","36","41.6","1382","41","36","1901.5999999999933","39","41.6","1266","43","36","1901.3999999999933","37","41.6"
,"1320","42","36","2065.7999999999925","38","41.6","1402","44","36","1783.1999999999937","36","41.6","1382","41","36","1901.5999999999933","39","41.6","1266","43","36","1901.3999999999933","37","41.6"
,"1356","42","36","2170.1999999999916","38","41.6","1462","44","36","1852.7999999999931","36","41.6","1448","41","36","1947.999999999993","39","41.6","1296","43","36","1994.1999999999925","37","41.6"
,"1488","42","36","2344.1999999999903","38","41.6","1558","44","36","2003.599999999992","36","41.6","1526","41","36","2145.1999999999916","39","41.6","1416","43","36","2144.9999999999914","37","41.6"
,"1560","42","36","2483.399999999989","38","41.6","1672","44","36","2154.399999999991","36","41.6","1646","41","36","2330.79999999999","39","41.6","1506","43","36","2330.59999999999","37","41.6"
,"1560","42","36","2483.399999999989","38","41.6","1672","44","36","2154.399999999991","36","41.6","1646","41","36","2330.79999999999","39","41.6","1506","43","36","2330.59999999999","37","41.6"
,"1728","42","36","2842.9999999999864","38","41.6","1828","44","36","2409.599999999989","36","41.6","1808","41","36","2539.5999999999885","39","41.6","1638","43","36","2574.199999999988","37","41.6"
,"1728","42","36","2842.9999999999864","38","41.6","1828","44","36","2409.599999999989","36","41.6","1808","41","36","2539.5999999999885","39","41.6","1638","43","36","2574.199999999988","37","41.6"
,"1848","42","36","3028.599999999985","38","41.6","1996","44","36","2641.599999999987","36","41.6","1958","41","36","2829.5999999999863","39","41.6","1794","43","36","2852.599999999986","37","41.6"
,"1932","42","36","3156.199999999984","38","41.6","2038","44","36","2711.1999999999866","36","41.6","2006","41","36","2922.3999999999855","39","41.6","1848","43","36","2910.5999999999854","37","41.6"
,"1968","42","38","3260.599999999983","38","41.4","2098","44","38","2780.799999999986","36","41.4","2072","41","38","2968.799999999985","39","41.4","1878","43","38","3003.3999999999846","37","41.4"
,"1968","41","38","3260.599999999983","39","41.4","2098","44","38","2780.799999999986","36","41.4","2072","41","38","2968.799999999985","39","41.4","1878","43","38","3003.3999999999846","37","41.4"
,"2232","41","38","3659.5999999999863","39","41.4","2378","44","38","3111.3999999999887","36","41.4","2360","41","38","3310.799999999988","39","41.4","2134","43","38","3333.9999999999873","37","41.4"
,"2296","41","38","3705.1999999999866","39","41.4","2450","44","38","3191.1999999999894","36","41.4","2400","41","38","3413.3999999999887","39","41.4","2222","43","38","3425.199999999988","37","41.4"
,"2336","41","38","3819.1999999999875","39","41.4","2530","44","38","3259.59999999999","36","41.4","2488","41","38","3458.999999999989","39","41.4","2262","43","38","3516.3999999999887","37","41.4"
,"2448","41","38","3944.5999999999885","39","41.4","2586","44","38","3327.9999999999905","36","41.4","2552","41","38","3550.19999999999","39","41.4","2334","43","38","3573.399999999989","37","41.4"
,"2536","41","38","4092.7999999999884","39","41.4","2738","44","38","3476.1999999999916","36","41.4","2712","41","38","3732.5999999999913","39","41.4","2454","43","38","3755.7999999999906","37","41.4"
,"2536","41","38","4092.7999999999884","39","41.4","2738","44","38","3476.1999999999916","36","41.4","2712","41","38","3732.5999999999913","39","41.4","2454","43","38","3755.7999999999906","37","41.4"
,"2816","41","38","4503.199999999975","39","41.4","3018","44","38","3806.7999999999943","36","41.4","2968","41","38","4040.3999999999937","39","41.4","2718","43","38","4086.3999999999924","37","41.4"
,"2816","41","38","4503.199999999975","39","41.4","3018","44","38","3806.7999999999943","36","41.4","2968","41","38","4040.3999999999937","39","41.4","2718","43","38","4086.3999999999924","37","41.4"
,"2904","41","38","4651.3999999999705","39","41.4","3170","44","38","3954.9999999999955","36","41.4","3128","41","38","4222.799999999989","39","41.4","2838","43","38","4268.7999999999865","37","41.4"
,"3016","41","40","4776.7999999999665","39","41.2","3226","44","40","4023.399999999996","36","41.2","3192","41","40","4313.999999999986","39","41.2","2910","43","40","4325.799999999985","37","41.2"
,"3066","41","40","4888.799999999965","39","41.2","3326","43","40","4090.599999999995","37","41.2","3302","41","40","4358.799999999986","39","41.2","2960","42","40","4415.399999999983","38","41.2"
