"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S6_S2_price_6"
"03/23/2023 19:59:22:699 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"distance-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","97686","39","32","105189.39999998707","41","32.4","97062","37","32","98025.59999996201","43","32","204686","40","40","237131.20000003543","40","40","104800","39","32","94959.80000004727","41","31.6"
"[min]","0","27","32","0","0","32.4","0","28","32","0","0","32","0","28","36","0","0","40","0","29","32","0","0","31.6"
"[max]","97686","80","42","105189.39999998707","53","42","97062","80","42","98025.59999996201","52","42","204686","80","42","237131.20000003543","52","42","104800","80","42","94959.80000004727","51","42"
"[mean]","65616.646","40.944","34.257","66071.9929999959","39.056","34.828100000000006","66403.384","41.7125","34.378","62041.21289998958","38.2875","34.66589999999935","103707.457","35.3485","40.933","116523.11979999985","44.6515","40.248499999999204","70731.481","40.7625","34.631","63980.410100009474","39.2375","34.41790000000048"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","80","36","0","0","42","0","80","36","0","0","42","0","80","36","0","0","42","0","80","36","0","0","42"
,"480","80","38","0","0","41.8","480","80","38","0","0","41.8","480","80","38","0","0","41.8","480","80","38","0","0","41.8"
,"480","69","38","0","11","41.8","480","74","38","0","6","41.8","480","73","38","0","7","41.8","480","69","38","0","11","41.8"
,"568","69","38","47.19999999999999","11","41.8","576","74","38","23.599999999999994","6","41.8","560","73","38","0","7","41.8","560","69","38","47.19999999999999","11","41.8"
,"696","69","38","58.999999999999986","11","41.8","696","74","38","35.39999999999999","6","41.8","672","73","38","23.599999999999994","7","41.8","672","69","38","47.19999999999999","11","41.8"
,"912","69","38","165.20000000000005","11","41.8","936","74","38","70.79999999999998","6","41.8","856","73","38","47.19999999999999","7","41.8","912","69","38","118","11","41.8"
,"1000","69","38","165.20000000000005","11","41.8","1008","74","38","94.39999999999998","6","41.8","1000","73","38","70.79999999999998","7","41.8","1064","69","38","153.40000000000003","11","41.8"
,"1336","69","38","236.0000000000001","11","41.8","1384","74","38","129.8","6","41.8","1336","73","38","106.19999999999999","7","41.8","1304","69","38","224.2000000000001","11","41.8"
,"1336","69","38","236.0000000000001","11","41.8","1384","74","38","129.8","6","41.8","1336","73","38","106.19999999999999","7","41.8","1304","69","38","224.2000000000001","11","41.8"
,"1552","69","38","342.2000000000002","11","41.8","1624","74","38","165.20000000000005","6","41.8","1520","73","38","129.8","7","41.8","1544","69","38","295.00000000000017","11","41.8"
,"1680","69","38","354.0000000000002","11","41.8","1744","74","38","177.00000000000006","6","41.8","1632","73","38","153.40000000000003","7","41.8","1656","69","38","295.00000000000017","11","41.8"
,"1856","69","38","401.2000000000003","11","41.8","1912","74","38","224.2000000000001","6","41.8","1856","73","38","177.00000000000006","7","41.8","1888","69","38","377.60000000000025","11","41.8"
,"1856","69","36","401.2000000000003","11","41.6","1912","74","36","224.2000000000001","6","41.6","1856","73","36","177.00000000000006","7","41.6","1888","69","36","377.60000000000025","11","41.6"
,"2270","80","36","401.2000000000003","0","41.6","2326","80","36","224.2000000000001","0","41.6","2216","80","36","177.00000000000006","0","41.6","2236","80","36","377.60000000000025","0","41.6"
,"2270","80","36","401.2000000000003","0","41.6","2326","80","36","224.2000000000001","0","41.6","2216","80","36","177.00000000000006","0","41.6","2236","80","36","377.60000000000025","0","41.6"
,"2360","80","36","401.2000000000003","0","41.6","2410","80","36","224.2000000000001","0","41.6","2276","80","36","177.00000000000006","0","41.6","2320","80","36","377.60000000000025","0","41.6"
,"2528","80","36","401.2000000000003","0","41.6","2572","80","36","224.2000000000001","0","41.6","2492","80","36","177.00000000000006","0","41.6","2536","80","36","377.60000000000025","0","41.6"
,"2744","80","36","401.2000000000003","0","41.6","2770","80","36","224.2000000000001","0","41.6","2642","80","36","177.00000000000006","0","41.6","2752","80","36","377.60000000000025","0","41.6"
,"2744","80","36","401.2000000000003","0","41.6","2770","80","36","224.2000000000001","0","41.6","2642","80","36","177.00000000000006","0","41.6","2752","80","36","377.60000000000025","0","41.6"
,"3032","80","36","401.2000000000003","0","41.6","3070","80","36","224.2000000000001","0","41.6","2912","80","36","177.00000000000006","0","41.6","2968","80","36","377.60000000000025","0","41.6"
,"3032","80","36","401.2000000000003","0","41.6","3070","80","36","224.2000000000001","0","41.6","2912","80","36","177.00000000000006","0","41.6","2968","80","36","377.60000000000025","0","41.6"
,"3314","80","36","401.2000000000003","0","41.6","3334","80","36","224.2000000000001","0","41.6","3182","80","36","177.00000000000006","0","41.6","3316","80","36","377.60000000000025","0","41.6"
,"3416","80","36","401.2000000000003","0","41.6","3430","80","36","224.2000000000001","0","41.6","3278","80","36","177.00000000000006","0","41.6","3400","80","36","377.60000000000025","0","41.6"
,"3506","80","38","401.2000000000003","0","41.4","3514","80","38","224.2000000000001","0","41.4","3338","80","38","177.00000000000006","0","41.4","3484","80","38","377.60000000000025","0","41.4"
,"3506","66","38","401.2000000000003","14","41.4","3514","70","38","224.2000000000001","10","41.4","3338","68","38","177.00000000000006","12","41.4","3484","66","38","377.60000000000025","14","41.4"
,"3954","66","38","549.4","14","41.4","4002","70","38","315.3999999999999","10","41.4","3754","68","38","268.2","12","41.4","3860","66","38","503","14","41.4"
,"4034","66","38","560.8","14","41.4","4074","70","38","338.1999999999999","10","41.4","3882","68","38","313.7999999999999","12","41.4","4012","66","38","537.1999999999999","14","41.4"
,"4114","66","38","617.7999999999998","14","41.4","4162","70","38","372.3999999999998","10","41.4","3962","68","38","313.7999999999999","12","41.4","4084","66","38","594.1999999999998","14","41.4"
,"4234","66","38","640.5999999999998","14","41.4","4274","70","38","395.19999999999976","10","41.4","4066","68","38","347.99999999999983","12","41.4","4196","66","38","594.1999999999998","14","41.4"
,"4442","66","38","754.5999999999996","14","41.4","4490","70","38","463.5999999999996","10","41.4","4242","68","38","382.19999999999976","12","41.4","4412","66","38","696.7999999999996","14","41.4"
,"4442","66","38","754.5999999999996","14","41.4","4490","70","38","463.5999999999996","10","41.4","4242","68","38","382.19999999999976","12","41.4","4412","66","38","696.7999999999996","14","41.4"
,"4842","66","38","857.1999999999994","14","41.4","4922","70","38","543.3999999999995","10","41.4","4690","68","38","484.7999999999996","12","41.4","4796","66","38","810.7999999999994","14","41.4"
,"4842","66","38","857.1999999999994","14","41.4","4922","70","38","543.3999999999995","10","41.4","4690","68","38","484.7999999999996","12","41.4","4796","66","38","810.7999999999994","14","41.4"
,"5050","66","38","971.1999999999991","14","41.4","5138","70","38","611.7999999999994","10","41.4","4866","68","38","518.9999999999995","12","41.4","5012","66","38","913.3999999999992","14","41.4"
,"5170","66","40","993.9999999999991","14","41.2","5250","70","40","634.5999999999993","10","41.2","4970","68","40","553.1999999999995","12","41.2","5124","66","40","913.3999999999992","14","41.2"
,"5240","43","40","1083.5999999999995","37","41.2","5310","49","40","724.1999999999997","31","41.2","5040","46","40","586.7999999999996","34","41.2","5194","47","40","991.7999999999995","33","41.2"
,"5300","43","40","1139.5999999999997","37","41.2","5380","49","40","768.9999999999999","31","41.2","5140","46","40","698.8000000000001","34","41.2","5354","47","40","1058.9999999999998","33","41.2"
