"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S2_S1_D_10"
"03/21/2023 17:50:42:758 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"distance-fraction","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","13202.20000001213","39","30.2","291323.00000006094","40","42.2","197590.19999998622","40","38.8","278183.40000004583","39","42.2","13119.200000012464","35","30.2","316711.60000001366","45","42.2","246618.60000002733","43","42","189257.999999995","37","35.4"
"[min]","0","39","30.2","0","39","42","0","39","36","0","39","41.4","0","34","30.2","0","39","42","0","41","36","0","34","35.4"
"[max]","13202.20000001213","39","36","291323.00000006094","41","42.4","197590.19999998622","41","39.2","278183.40000004583","41","42.2","13119.200000012464","35","36","316711.60000001366","46","43","246618.60000002733","46","42.4","189257.999999995","37","42"
"[mean]","10693.059500005034","39","30.651699999998918","145692.80900001104","40.778","42.126699999999126","96612.54530000276","39.7525","38.68750000000037","138524.74980001015","40.1175","42.01689999999935","10613.416200005246","34.8505","30.6494999999989","158856.28470000424","44.9395","42.35849999999991","115815.0891000025","43.9285","41.09389999999903","105583.51170000114","35.816","38.62409999999995"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","39","36","0","41","42","0","41","36","0","39","42","0","34","36","0","46","42","0","46","36","0","34","42"
,"234","39","35.8","492","41","42.2","246","41","36.2","468","39","41.8","204","34","35.8","552","46","42.2","276","46","36.2","408","34","41.8"
,"234","39","35.8","492","41","42.2","246","41","36.2","468","39","41.8","204","34","35.8","552","46","42.2","276","46","36.2","408","34","41.8"
,"268.80000000000007","39","35.8","614.0000000000005","41","42.2","289.3999999999999","41","36.2","585.9999999999997","39","41.8","244.60000000000008","34","35.8","661.8000000000004","46","42.2","325.5999999999999","46","36.2","467.00000000000006","34","41.8"
,"297.8000000000001","39","35.8","675.0000000000007","40","42.2","345.1999999999998","41","36.2","656.7999999999994","39","41.8","285.20000000000016","34","35.8","771.6000000000008","46","42.2","362.79999999999984","46","36.2","596.7999999999996","34","41.8"
,"355.80000000000024","39","35.8","919.0000000000016","41","42.2","438.19999999999965","41","36.2","833.7999999999987","39","41.8","360.6000000000003","34","35.8","979.0000000000016","46","42.2","461.99999999999966","46","36.2","785.5999999999989","34","41.8"
,"425.4000000000004","39","35.8","1004.4000000000019","41","42.2","487.7999999999996","41","36.2","916.3999999999984","39","41.8","418.6000000000004","34","35.8","1101.000000000002","46","42.2","523.9999999999999","46","36.2","797.3999999999988","34","41.8"
,"558.7999999999998","39","35.8","1285.000000000003","40","42.2","642.8000000000008","41","36.2","1234.9999999999973","39","41.8","523.0000000000002","34","35.8","1442.6000000000033","46","42.2","697.6000000000012","46","36.2","1056.999999999998","34","41.8"
,"558.7999999999998","39","35.8","1285.000000000003","41","42.2","642.8000000000008","41","36.2","1234.9999999999973","39","41.8","523.0000000000002","34","35.8","1442.6000000000033","46","42.2","697.6000000000012","46","36.2","1056.999999999998","34","41.8"
,"616.7999999999994","39","35.8","1529.0000000000039","41","42.2","735.8000000000014","41","36.2","1411.9999999999966","39","41.8","598.3999999999996","34","35.8","1650.000000000004","46","42.2","796.8000000000019","46","36.2","1245.7999999999972","34","41.8"
,"645.7999999999992","39","35.8","1590.000000000004","40","42.2","791.6000000000018","41","36.2","1482.7999999999963","39","41.8","638.9999999999993","34","35.8","1759.8000000000045","46","42.2","834.0000000000022","46","36.2","1375.5999999999967","34","41.8"
,"750.1999999999983","39","35.8","1797.4000000000049","41","42.2","884.6000000000025","41","36.2","1683.3999999999955","39","41.8","737.5999999999985","34","35.8","1991.6000000000054","46","42.2","945.600000000003","46","36.2","1446.3999999999965","34","41.8"
,"750.1999999999983","39","35.6","1797.4000000000049","41","42.2","884.6000000000025","41","36","1683.3999999999955","39","41.8","737.5999999999985","34","35.6","1991.6000000000054","46","42.2","945.600000000003","46","36","1446.3999999999965","34","41.8"
,"901.399999999999","39","35.6","2200.000000000003","40","42.2","1082.6000000000026","41","36","2060.999999999995","39","41.8","871.9999999999991","34","35.6","2430.7999999999993","46","42.2","1161.600000000003","46","36","1835.799999999995","34","41.8"
,"901.399999999999","39","35.6","2200.000000000003","41","42.2","1082.6000000000026","41","36","2060.999999999995","39","41.8","871.9999999999991","34","35.6","2430.7999999999993","46","42.2","1161.600000000003","46","36","1835.799999999995","34","41.8"
,"934.9999999999991","39","35.6","2322.0000000000014","41","42.2","1124.6000000000026","41","36","2178.999999999997","39","41.8","911.1999999999992","34","35.6","2540.5999999999976","46","42.2","1209.600000000003","46","36","1894.7999999999947","34","41.8"
,"1030.1999999999987","39","35.6","2468.399999999999","40","42.2","1226.6000000000026","41","36","2332.399999999999","39","41.8","1006.3999999999994","34","35.6","2772.399999999994","46","42.2","1305.600000000003","46","36","2036.3999999999946","34","41.8"
,"1086.1999999999978","39","35.6","2712.3999999999955","41","42.2","1316.6000000000026","41","36","2509.400000000002","39","41.8","1079.1999999999982","34","35.6","2979.799999999991","46","42.2","1401.600000000003","46","36","2225.1999999999975","34","41.8"
,"1086.1999999999978","39","35.6","2712.3999999999955","41","42.2","1316.6000000000026","41","36","2509.400000000002","39","41.8","1079.1999999999982","34","35.6","2979.799999999991","46","42.2","1401.600000000003","46","36","2225.1999999999975","34","41.8"
,"1214.9999999999957","39","35.6","2992.9999999999914","40","42.2","1466.6000000000026","41","36","2828.000000000007","39","41.8","1179.9999999999966","34","35.6","3321.399999999986","46","42.2","1569.600000000003","46","36","2484.8000000000015","34","41.8"
,"1214.9999999999957","39","35.6","2992.9999999999914","41","42.2","1466.6000000000026","41","36","2828.000000000007","39","41.8","1179.9999999999966","34","35.6","3321.399999999986","46","42.2","1569.600000000003","46","36","2484.8000000000015","34","41.8"
,"1338.1999999999937","39","35.6","3322.3999999999864","41","42.2","1604.6000000000026","41","36","3087.600000000011","39","41.8","1308.7999999999945","34","35.6","3650.799999999981","46","42.2","1725.600000000003","46","36","2685.4000000000046","34","41.8"
,"1366.1999999999932","39","35.6","3383.3999999999855","40","42.2","1658.6000000000026","41","36","3158.400000000012","39","41.8","1347.9999999999939","34","35.6","3760.5999999999794","46","42.2","1761.600000000003","46","36","2815.2000000000066","34","41.8"
,"1399.7999999999927","39","35.4","3505.3999999999837","41","42.2","1700.6000000000026","41","36.2","3276.4000000000137","39","41.8","1387.1999999999932","34","35.4","3870.399999999978","46","42.2","1809.600000000003","46","36.2","2874.2000000000075","34","41.8"
,"1399.7999999999927","39","35.4","3505.3999999999837","41","42.2","1700.6000000000026","41","36.2","3276.4000000000137","39","41.8","1387.1999999999932","34","35.4","3870.399999999978","46","42.2","1809.600000000003","46","36.2","2874.2000000000075","34","41.8"
,"1545.5999999999951","39","35.4","3907.9999999999777","40","42.2","1905.2000000000041","41","36.2","3654.0000000000196","39","41.8","1516.7999999999954","34","35.4","4309.599999999971","46","42.2","2032.8000000000043","46","36.2","3263.6000000000136","34","41.8"
,"1610.3999999999962","39","35.4","3993.3999999999764","41","42.2","1954.8000000000045","41","36.2","3736.600000000021","39","41.8","1570.7999999999963","34","35.4","4431.599999999969","46","42.2","2094.8000000000025","46","36.2","3275.4000000000137","34","41.8"
