"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S6_S2_D_6"
"03/22/2023 16:12:39:219 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"distance-fraction","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","276706","43","40","43475.19999997618","37","30.2","51496","39","32","272950.00000002596","41","42","223936","42","40","51015.799999972885","38","30.2","314120","46","40","41291.599999959835","34","30.2"
"[min]","0","35","36","0","33","30.2","0","38","32","0","38","42","0","15","36","0","37","30.2","0","36","36","0","34","30.2"
"[max]","276706","47","44","43475.19999997618","38","42","51496","39","36","272950.00000002596","42","42.8","223936","43","48","51015.799999972885","39","42","314120","46","44","41291.599999959835","35","42"
"[mean]","139266.409","42.1545","41.835","36223.64489999287","37.1775","32.23979999999906","25736.822","38.999","32.343","136551.16760000022","40.5625","42.26509999999942","112194.295","40.833","42.957","42207.299799992004","37.823","32.51149999999892","156643.554","44.766","41.835","35258.287099986344","34.539","32.0879999999986"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","47","36","0","33","42","0","38","36","0","42","42","0","43","36","0","37","42","0","46","36","0","34","42"
,"282","47","38","396","33","41.8","228","38","34","504","42","42.2","258","43","38","444","37","41.8","276","46","38","408","34","41.8"
,"282","46","38","396","34","41.8","228","39","34","504","41","42.2","258","43","38","444","37","41.8","276","46","38","408","34","41.8"
,"362","46","38","455.00000000000006","34","41.8","256","39","34","613.8000000000004","41","42.2","290","43","38","503","37","41.8","364","46","38","490.6","34","41.8"
,"442","46","38","525.8","34","41.8","288","39","34","674.8000000000006","41","42.2","338","43","38","573.7999999999997","37","41.8","468","46","38","549.5999999999998","34","41.8"
,"594","46","38","655.5999999999995","34","41.8","340","39","34","870.0000000000014","40","42.2","426","43","38","762.599999999999","37","41.8","628","46","38","761.999999999999","34","41.8"
,"650","46","38","749.9999999999991","34","41.8","388","39","34","943.2000000000016","40","42.2","538","43","38","856.9999999999986","37","41.8","668","46","38","785.5999999999989","34","41.8"
,"890","46","38","985.9999999999982","34","41.8","472","39","34","1260.4000000000028","41","42.2","714","43","38","1069.3999999999978","37","41.8","924","46","38","1033.399999999998","34","41.8"
,"890","46","38","985.9999999999982","34","41.8","472","39","34","1260.4000000000028","41","42.2","714","43","38","1069.3999999999978","37","41.8","924","46","38","1033.399999999998","34","41.8"
,"1042","46","38","1115.7999999999977","34","41.8","524","39","34","1455.6000000000035","40","42.2","802","43","38","1258.199999999997","37","41.8","1084","46","38","1245.7999999999972","34","41.8"
,"1122","46","38","1186.5999999999974","34","41.8","556","39","34","1516.6000000000038","41","42.2","850","43","38","1328.9999999999968","37","41.8","1188","46","38","1304.799999999997","34","41.8"
,"1258","46","38","1339.9999999999968","34","41.8","632","39","34","1699.6000000000045","40","42.2","994","43","38","1482.3999999999962","37","41.8","1316","46","38","1410.9999999999966","34","41.8"
,"1258","46","36","1339.9999999999968","34","41.6","632","39","32","1699.6000000000045","41","42","994","43","36","1482.3999999999962","37","41.6","1316","46","36","1410.9999999999966","34","41.6"
,"1498","47","36","1629.9999999999945","33","41.6","686","39","32","2107.6000000000045","41","42","1168","43","36","1818.7999999999936","37","41.6","1562","46","36","1782.1999999999937","34","41.6"
,"1498","47","36","1629.9999999999945","33","41.6","686","39","32","2107.6000000000045","41","42","1168","43","36","1818.7999999999936","37","41.6","1562","46","36","1782.1999999999937","34","41.6"
,"1558","47","36","1687.999999999994","33","41.6","700","39","32","2215.6000000000045","41","42","1192","43","36","1876.7999999999931","37","41.6","1628","46","36","1863.399999999993","34","41.6"
,"1660","47","36","1850.3999999999928","33","41.6","740","39","32","2359.6000000000045","41","42","1312","43","36","2039.199999999992","37","41.6","1736","46","36","1944.5999999999924","34","41.6"
,"1780","47","36","1966.399999999992","33","41.6","766","39","32","2563.6000000000045","41","42","1378","43","36","2224.7999999999906","37","41.6","1856","46","36","2153.399999999991","34","41.6"
,"1780","47","36","1966.399999999992","33","41.6","766","39","32","2563.6000000000045","41","42","1378","43","36","2224.7999999999906","37","41.6","1856","46","36","2153.399999999991","34","41.6"
,"1960","47","36","2198.39999999999","33","41.6","808","39","32","2875.6000000000045","41","42","1510","43","36","2433.599999999989","37","41.6","2048","46","36","2396.999999999989","34","41.6"
,"1960","47","36","2198.39999999999","33","41.6","808","39","32","2875.6000000000045","41","42","1510","43","36","2433.599999999989","37","41.6","2048","46","36","2396.999999999989","34","41.6"
,"2122","47","36","2407.1999999999884","33","41.6","858","39","32","3163.6000000000045","41","42","1660","43","36","2711.999999999987","37","41.6","2198","46","36","2628.9999999999873","34","41.6"
,"2182","47","36","2476.799999999988","33","41.6","874","39","32","3223.6000000000045","41","42","1696","43","36","2781.5999999999863","37","41.6","2276","46","36","2686.999999999987","34","41.6"
,"2242","47","38","2534.7999999999874","33","41.4","888","39","32","3331.6000000000045","41","42.2","1720","43","38","2839.599999999986","37","41.4","2342","46","38","2768.199999999986","34","41.4"
,"2242","45","38","2534.7999999999874","35","41.4","888","39","32","3331.6000000000045","41","42.2","1720","43","38","2839.599999999986","37","41.4","2342","46","38","2768.199999999986","34","41.4"
,"2546","45","38","2842.59999999999","35","41.4","942","39","32","3734.1999999999985","40","42.2","1952","43","38","3170.1999999999884","37","41.4","2670","46","38","3132.999999999989","34","41.4"
,"2602","45","38","2933.7999999999906","35","41.4","966","39","32","3807.3999999999974","40","42.2","2064","43","38","3261.399999999989","37","41.4","2710","46","38","3155.7999999999893","34","41.4"
,"2682","45","38","2990.799999999991","35","41.4","980","39","32","3917.1999999999957","41","42.2","2096","43","38","3318.3999999999896","37","41.4","2798","46","38","3235.59999999999","34","41.4"
,"2762","45","38","3059.1999999999916","35","41.4","996","39","32","3978.199999999995","41","42.2","2144","43","38","3386.79999999999","37","41.4","2902","46","38","3292.5999999999904","34","41.4"
,"2914","45","38","3184.5999999999926","35","41.4","1022","39","32","4173.399999999992","40","42.2","2232","43","38","3569.1999999999916","37","41.4","3062","46","38","3497.799999999992","34","41.4"
,"2914","45","38","3184.5999999999926","35","41.4","1022","39","32","4173.399999999992","41","42.2","2232","43","38","3569.1999999999916","37","41.4","3062","46","38","3497.799999999992","34","41.4"
,"3202","45","38","3515.1999999999953","35","41.4","1088","39","32","4563.7999999999865","40","42.2","2520","43","38","3865.599999999994","37","41.4","3358","46","38","3759.999999999994","34","41.4"
,"3202","45","38","3515.1999999999953","35","41.4","1088","39","32","4563.7999999999865","41","42.2","2520","43","38","3865.599999999994","37","41.4","3358","46","38","3759.999999999994","34","41.4"
,"3354","45","38","3640.5999999999963","35","41.4","1114","39","32","4758.999999999984","40","42.2","2608","43","38","4047.9999999999955","37","41.4","3518","46","38","3965.1999999999957","34","41.4"
,"3434","45","40","3708.999999999997","35","41.2","1130","39","32","4819.999999999983","41","42.4","2656","43","40","4116.399999999994","37","41.2","3622","46","40","4022.199999999996","34","41.2"
,"3534","45","40","3764.999999999996","35","41.2","1144","39","32","4931.599999999979","41","42.4","2696","43","40","4172.399999999993","37","41.2","3732","46","40","4100.599999999995","34","41.2"
