"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"738","46","37","1045.199999999998","34","41.8","803","49","37","926.1999999999985","31","41.8","914","50","37","937.7999999999984","30","41.8","698","42","37","1187.1999999999973","38","41.8"
,"738","46","37","1045.199999999998","34","41.8","803","49","37","926.1999999999985","31","41.8","914","50","37","937.7999999999984","30","41.8","698","42","37","1187.1999999999973","38","41.8"
,"885","46","37","1174.9999999999975","34","41.8","929","49","37","1079.5999999999979","31","41.8","1089","50","37","1126.5999999999976","30","41.8","831","42","37","1328.7999999999968","38","41.8"
,"913","46","37","1269.3999999999971","34","41.8","971","49","37","1103.1999999999978","31","41.8","1131","50","37","1161.9999999999975","30","41.8","873","42","37","1446.7999999999963","38","41.8"
,"1053","46","37","1422.7999999999965","34","41.8","1118","49","37","1291.999999999997","31","41.8","1334","50","37","1338.9999999999968","30","41.8","957","42","37","1670.9999999999955","38","41.8"
,"1053","46","36","1422.7999999999965","34","41.8","1118","49","36","1291.999999999997","31","41.8","1334","50","36","1338.9999999999968","30","41.8","957","42","36","1670.9999999999955","38","41.8"
,"1257","46","36","1741.3999999999953","34","41.8","1340","50","36","1551.599999999996","30","41.8","1556","51","36","1610.3999999999958","29","41.8","1179","43","36","1989.5999999999942","37","41.8"
,"1257","46","36","1741.3999999999953","34","41.8","1340","50","36","1551.599999999996","30","41.8","1556","51","36","1610.3999999999958","29","41.8","1179","43","36","1989.5999999999942","37","41.8"
,"1305","46","36","1812.199999999995","34","41.8","1388","50","36","1645.9999999999957","30","41.8","1646","51","36","1716.5999999999954","29","41.8","1221","43","36","2083.999999999995","37","41.8"
,"1401","46","36","1989.1999999999944","34","41.8","1502","50","36","1763.9999999999952","30","41.8","1766","51","36","1822.799999999995","29","41.8","1293","43","36","2319.9999999999986","37","41.8"
,"1527","46","36","2118.999999999996","34","41.8","1610","50","36","1917.3999999999946","30","41.8","1922","51","36","1999.7999999999943","29","41.8","1407","43","36","2461.600000000001","37","41.8"
,"1527","46","36","2118.999999999996","34","41.8","1610","50","36","1917.3999999999946","30","41.8","1922","51","36","1999.7999999999943","29","41.8","1407","43","36","2461.600000000001","37","41.8"
,"1653","46","36","2378.6","34","41.8","1772","50","36","2117.999999999996","30","41.8","2078","51","36","2200.399999999997","29","41.8","1557","43","36","2733.000000000005","37","41.8"
,"1653","46","36","2378.6","34","41.8","1772","50","36","2117.999999999996","30","41.8","2078","51","36","2200.399999999997","29","41.8","1557","43","36","2733.000000000005","37","41.8"
,"1851","46","36","2591.000000000003","34","41.8","1958","50","36","2365.7999999999997","30","41.8","2318","51","36","2448.2000000000007","29","41.8","1707","43","36","2992.600000000009","37","41.8"
,"1875","46","36","2685.4000000000046","34","41.8","1994","50","36","2389.4","30","41.8","2354","51","36","2483.6000000000013","29","41.8","1743","43","36","3110.600000000011","37","41.8"
,"1923","46","37","2756.2000000000057","34","41.8","2042","50","37","2483.8000000000015","30","41.8","2444","51","37","2589.800000000003","29","41.8","1785","43","37","3205.0000000000123","37","41.8"
,"1923","46","37","2756.2000000000057","34","41.8","2042","49","37","2483.8000000000015","31","41.8","2444","50","37","2589.800000000003","30","41.8","1785","42","37","3205.0000000000123","38","41.8"
,"2161","46","37","3074.8000000000106","34","41.8","2294","49","37","2755.2000000000057","31","41.8","2696","50","37","2873.0000000000073","30","41.8","2044","42","37","3523.600000000017","38","41.8"
,"2245","46","37","3157.400000000012","34","41.8","2385","49","37","2849.600000000007","31","41.8","2794","50","37","2943.8000000000084","30","41.8","2079","42","37","3653.400000000019","38","41.8"
,"2301","46","37","3228.200000000013","34","41.8","2441","49","37","2944.0000000000086","31","41.8","2899","50","37","3050.00000000001","30","41.8","2128","42","37","3747.8000000000206","38","41.8"
,"2329","46","37","3322.6000000000145","34","41.8","2483","49","37","2967.600000000009","31","41.8","2941","50","37","3085.4000000000106","30","41.8","2170","42","37","3865.8000000000225","38","41.8"
,"2476","46","37","3452.4000000000165","34","41.8","2609","49","37","3121.0000000000114","31","41.8","3116","50","37","3274.2000000000135","30","41.8","2303","42","37","4007.4000000000246","38","41.8"
,"2476","46","37","3452.4000000000165","34","41.8","2609","49","37","3121.0000000000114","31","41.8","3116","50","37","3274.2000000000135","30","41.8","2303","42","37","4007.4000000000246","38","41.8"
,"2707","46","37","3794.6000000000217","34","41.8","2882","49","37","3427.800000000016","31","41.8","3396","50","37","3545.6000000000176","30","41.8","2513","42","37","4408.60000000003","38","41.8"
,"2707","46","37","3794.6000000000217","34","41.8","2882","49","37","3427.800000000016","31","41.8","3396","50","37","3545.6000000000176","30","41.8","2513","42","37","4408.60000000003","38","41.8"
,"2854","46","37","3924.4000000000237","34","41.8","3008","49","37","3581.2000000000185","31","41.8","3571","50","37","3734.4000000000206","30","41.8","2646","42","37","4550.200000000033","38","41.8"
,"2882","46","38","4018.800000000025","34","41.8","3050","49","38","3604.800000000019","31","41.8","3613","50","38","3769.800000000021","30","41.8","2688","42","38","4668.200000000034","38","41.8"
,"2946","43","38","4089.600000000026","37","41.8","3114","47","38","3699.2000000000203","33","41.8","3733","49","38","3876.0000000000227","31","41.8","2744","42","38","4762.600000000036","38","41.8"
,"3034","43","38","4184.000000000027","37","41.8","3218","47","38","3793.6000000000217","33","41.8","3837","49","38","3958.600000000024","31","41.8","2784","42","38","4892.400000000038","38","41.8"
,"3290","43","38","4526.200000000033","37","41.8","3490","47","38","4088.600000000026","33","41.8","4125","49","38","4241.800000000028","31","41.8","3080","42","38","5211.000000000043","38","41.8"
,"3290","43","38","4526.200000000033","37","41.8","3490","47","38","4088.600000000026","33","41.8","4125","49","38","4241.800000000028","31","41.8","3080","42","38","5211.000000000043","38","41.8"
,"3354","43","38","4597.000000000034","37","41.8","3554","47","38","4183.000000000027","33","41.8","4245","49","38","4348.00000000003","31","41.8","3136","42","38","5305.400000000044","38","41.8"
,"3386","43","38","4691.400000000035","37","41.8","3594","47","38","4218.400000000028","33","41.8","4293","49","38","4383.400000000031","31","41.8","3184","42","38","5423.400000000046","38","41.8"
,"3634","43","38","4927.400000000039","37","41.8","3842","47","38","4466.200000000032","33","41.8","4597","49","38","4654.800000000035","31","41.8","3376","42","38","5694.80000000005","38","41.8"
,"3634","43","38","4927.400000000039","37","41.8","3842","47","38","4466.200000000032","33","41.8","4597","49","38","4654.800000000035","31","41.8","3376","42","38","5694.80000000005","38","41.8"
,"3794","43","38","5198.800000000043","37","41.8","4034","47","38","4702.200000000035","33","41.8","4805","49","38","4855.400000000038","31","41.8","3576","42","38","5966.200000000054","38","41.8"
,"3794","43","38","5198.800000000043","37","41.8","4034","47","38","4702.200000000035","33","41.8","4805","49","38","4855.400000000038","31","41.8","3576","42","38","5966.200000000054","38","41.8"
,"3954","43","39","5340.400000000045","37","41.8","4178","47","39","4855.600000000038","33","41.8","5005","49","39","5044.200000000041","31","41.8","3728","42","39","6107.800000000057","38","41.8"
,"4080","39","39","5541.000000000048","41","41.8","4340","47","39","4985.40000000004","33","41.8","5176","46","39","5162.200000000043","34","41.8","3818","41","39","6367.400000000061","39","41.8"
,"4143","39","39","5623.6000000000495","41","41.8","4412","47","39","5079.800000000041","33","41.8","5293","46","39","5292.000000000045","34","41.8","3881","41","39","6461.800000000062","39","41.8"
,"4143","39","39","5623.6000000000495","41","41.8","4412","47","39","5079.800000000041","33","41.8","5293","46","39","5292.000000000045","34","41.8","3881","41","39","6461.800000000062","39","41.8"
,"4404","39","39","6001.200000000055","41","41.8","4718","47","39","5374.800000000046","33","41.8","5590","46","39","5610.6000000000495","34","41.8","4214","41","39","6780.400000000067","39","41.8"
,"4404","39","39","6001.200000000055","41","41.8","4718","47","39","5374.800000000046","33","41.8","5590","46","39","5610.6000000000495","34","41.8","4214","41","39","6780.400000000067","39","41.8"
,"4557","39","39","6190.000000000058","41","41.8","4907","47","39","5563.600000000049","33","41.8","5824","46","39","5823.000000000053","34","41.8","4313","41","39","7016.400000000071","39","41.8"
,"4593","39","39","6284.40000000006","41","41.8","4952","47","39","5599.000000000049","33","41.8","5878","46","39","5858.400000000053","34","41.8","4367","41","39","7134.400000000072","39","41.8"
,"4755","39","39","6449.600000000062","41","41.8","5114","47","39","5752.4000000000515","33","41.8","6076","46","39","6082.600000000057","34","41.8","4538","41","39","7276.000000000075","39","41.8"
,"4755","39","39","6449.600000000062","41","41.8","5114","47","39","5752.4000000000515","33","41.8","6076","46","39","6082.600000000057","34","41.8","4538","41","39","7276.000000000075","39","41.8"
,"4917","39","39","6744.600000000067","41","41.8","5330","47","39","5988.400000000055","33","41.8","6292","46","39","6306.80000000006","34","41.8","4763","41","39","7547.400000000079","39","41.8"
,"5007","39","38","6850.800000000068","41","41.8","5447","47","40","6082.800000000057","33","41.8","6409","46","40","6389.4000000000615","34","41.8","4799","41","40","7689.000000000081","39","41.8"
,"5167","43","38","6992.400000000071","37","41.8","5627","47","40","6236.200000000059","33","41.8","6619","45","40","6625.400000000065","35","41.8","4989","41","40","7830.600000000083","39","41.8"
,"5199","43","38","7086.800000000072","37","41.8","5677","47","40","6271.6000000000595","33","41.8","6679","45","40","6660.800000000066","35","41.8","5049","41","40","7948.600000000085","39","41.8"
,"5263","43","38","7157.600000000073","37","41.8","5757","47","40","6366.000000000061","33","41.8","6799","45","40","6802.400000000068","35","41.8","5119","41","40","8043.000000000086","39","41.8"
,"5263","43","38","7157.600000000073","37","41.8","5757","47","40","6366.000000000061","33","41.8","6799","45","40","6802.400000000068","35","41.8","5119","41","40","8043.000000000086","39","41.8"
,"5607","43","38","7594.20000000008","37","41.8","6227","47","40","6755.400000000067","33","41.8","7249","45","40","7215.400000000074","35","41.8","5529","41","40","8503.200000000068","39","41.8"
,"5607","43","38","7594.20000000008","37","41.6","6227","47","40","6755.400000000067","33","41.6","7249","45","40","7215.400000000074","35","41.6","5529","41","40","8503.200000000068","39","41.6"
,"5663","41","38","7675.400000000082","39","41.6","6307","47","40","6848.20000000007","33","41.6","7369","45","40","7354.600000000079","35","41.6","5599","41","40","8596.000000000071","39","41.6"
,"5695","41","38","7768.200000000085","39","41.6","6357","47","40","6883.000000000071","33","41.6","7429","45","40","7389.40000000008","35","41.6","5659","41","40","8712.000000000075","39","41.6"
,"5847","41","38","7919.00000000009","39","41.6","6537","47","40","7033.800000000076","33","41.6","7639","45","40","7621.400000000087","35","41.6","5849","41","40","8851.200000000079","39","41.6"
,"5935","41","38","8011.800000000093","39","41.6","6667","47","40","7126.600000000079","33","41.6","7769","45","40","7702.6000000000895","35","41.6","5889","41","40","8990.400000000083","39","41.6"
,"6079","41","39","8301.800000000101","39","41.6","6907","47","41","7358.600000000086","33","41.6","7999","45","41","7934.600000000097","35","41.6","6139","41","41","9257.200000000092","39","41.6"
,"6079","39","39","8301.800000000101","41","41.6","6907","47","41","7358.600000000086","33","41.6","7999","44","41","7934.600000000097","36","41.6","6139","40","41","9257.200000000092","40","41.6"
,"6241","39","39","8464.200000000106","41","41.6","7105","47","41","7509.400000000091","33","41.6","8230","44","41","8166.600000000104","36","41.6","6337","40","41","9408.000000000096","40","41.6"
,"6277","39","39","8557.00000000011","41","41.6","7160","47","41","7544.200000000092","33","41.6","8285","44","41","8213.000000000106","36","41.6","6403","40","41","9524.0000000001","40","41.6"
,"6430","39","39","8742.600000000115","41","41.6","7391","47","41","7729.8000000000975","33","41.6","8560","44","41","8433.400000000112","36","41.6","6524","40","41","9756.000000000107","40","41.6"
,"6430","39","39","8742.600000000115","41","41.6","7391","47","41","7729.8000000000975","33","41.6","8560","44","41","8433.400000000112","36","41.6","6524","40","41","9756.000000000107","40","41.6"
,"6691","39","39","9113.800000000127","41","41.6","7765","47","41","8019.800000000107","33","41.6","8901","44","41","8769.800000000123","36","41.6","6920","40","41","10080.800000000118","40","41.6"
,"6691","39","39","9113.800000000127","41","41.6","7765","47","41","8019.800000000107","33","41.6","8901","44","41","8769.800000000123","36","41.6","6920","40","41","10080.800000000118","40","41.6"
,"6754","39","39","9195.00000000013","41","41.6","7853","47","41","8112.6000000001095","33","41.6","9033","44","41","8909.000000000127","36","41.6","6997","40","41","10173.60000000012","40","41.6"
,"6880","39","39","9392.200000000135","41","41.6","8051","47","41","8240.200000000114","33","41.6","9231","44","41","9036.600000000131","36","41.6","7107","40","41","10428.800000000128","40","41.6"
,"7042","39","39","9554.60000000014","41","41.6","8249","47","41","8391.000000000118","33","41.6","9462","44","41","9268.600000000139","36","41.6","7305","40","41","10579.600000000133","40","41.6"
,"7042","39","38","9554.60000000014","41","41.6","8249","47","40","8391.000000000118","33","41.6","9462","44","40","9268.600000000139","36","41.6","7305","40","40","10579.600000000133","40","41.6"
,"7186","41","38","9844.60000000015","39","41.6","8489","47","40","8623.000000000126","33","41.6","9692","45","40","9500.600000000146","35","41.6","7555","41","40","10846.400000000142","39","41.6"
,"7186","41","38","9844.60000000015","39","41.6","8489","47","40","8623.000000000126","33","41.6","9692","45","40","9500.600000000146","35","41.6","7555","41","40","10846.400000000142","39","41.6"
,"7426","41","38","10088.200000000157","39","41.6","8799","47","40","8866.600000000133","33","41.6","10032","45","40","9813.800000000156","35","41.6","7785","41","40","11124.80000000015","39","41.6"
,"7458","41","38","10181.00000000016","39","41.6","8849","47","40","8901.400000000134","33","41.6","10092","45","40","9848.600000000157","35","41.6","7845","41","40","11240.800000000154","39","41.6"
,"7514","41","38","10262.200000000163","39","41.6","8929","47","40","8994.200000000137","33","41.6","10212","45","40","9987.800000000161","35","41.6","7915","41","40","11333.600000000157","39","41.6"
,"7514","41","38","10262.200000000163","39","41.6","8929","47","40","8994.200000000137","33","41.6","10212","45","40","9987.800000000161","35","41.6","7915","41","40","11333.600000000157","39","41.6"
,"7754","41","38","10621.800000000174","39","41.6","9269","47","40","9284.200000000146","33","41.6","10532","45","40","10312.600000000171","35","41.6","8285","41","40","11646.800000000167","39","41.6"
,"7842","41","38","10714.600000000177","39","41.6","9399","47","40","9377.00000000015","33","41.6","10662","45","40","10393.800000000174","35","41.6","8325","41","40","11786.000000000171","39","41.6"
,"7898","41","38","10795.80000000018","39","41.6","9479","47","40","9469.800000000152","33","41.6","10782","45","40","10533.000000000178","35","41.6","8395","41","40","11878.800000000174","39","41.6"
,"7930","41","38","10888.600000000182","39","41.6","9529","47","40","9504.600000000153","33","41.6","10842","45","40","10567.80000000018","35","41.6","8455","41","40","11994.800000000178","39","41.6"
,"8082","41","39","11039.400000000187","39","41.6","9709","47","41","9655.400000000158","33","41.6","11052","45","41","10799.800000000187","35","41.6","8645","41","41","12134.000000000182","39","41.6"
,"8082","39","39","11039.400000000187","41","41.6","9709","47","41","9655.400000000158","33","41.6","11052","44","41","10799.800000000187","36","41.6","8645","40","41","12134.000000000182","40","41.6"
,"8334","39","39","11433.8000000002","41","41.6","10116","47","41","9980.200000000168","33","41.6","11437","44","41","11124.600000000197","36","41.6","8964","40","41","12540.000000000195","40","41.6"
,"8334","39","39","11433.8000000002","41","41.6","10116","47","41","9980.200000000168","33","41.6","11437","44","41","11124.600000000197","36","41.6","8964","40","41","12540.000000000195","40","41.6"
,"8496","39","39","11596.200000000204","41","41.6","10314","47","41","10131.000000000173","33","41.6","11668","44","41","11356.600000000204","36","41.6","9162","40","41","12690.8000000002","40","41.6"
,"8532","39","39","11689.000000000207","41","41.6","10369","47","41","10165.800000000174","33","41.6","11723","44","41","11403.000000000206","36","41.6","9228","40","41","12806.800000000203","40","41.6"
,"8595","39","39","11770.20000000021","41","41.6","10457","47","41","10258.600000000177","33","41.6","11855","44","41","11542.20000000021","36","41.6","9305","40","41","12899.600000000206","40","41.6"
,"8685","39","39","11874.600000000213","41","41.6","10600","47","41","10351.40000000018","33","41.6","11998","44","41","11623.400000000212","36","41.6","9349","40","41","13038.80000000021","40","41.6"
,"8946","39","39","12245.800000000225","41","41.6","10974","47","41","10641.400000000189","33","41.6","12339","44","41","11959.800000000223","36","41.6","9745","40","41","13363.60000000022","40","41.6"
,"8946","39","39","12245.800000000225","41","41.6","10974","47","41","10641.400000000189","33","41.6","12339","44","41","11959.800000000223","36","41.6","9745","40","41","13363.60000000022","40","41.6"
,"9009","39","39","12327.000000000227","41","41.6","11062","47","41","10734.200000000192","33","41.6","12471","44","41","12099.000000000227","36","41.6","9822","40","41","13456.400000000223","40","41.6"
,"9045","39","38","12419.80000000023","41","41.6","11117","47","42","10769.000000000193","33","41.6","12526","44","42","12145.400000000229","36","41.6","9888","40","42","13572.400000000227","40","41.6"
,"9285","41","38","12663.400000000238","39","41.6","11453","43","42","11047.400000000202","37","41.6","12934","44","42","12458.600000000239","36","41.6","10152","39","42","13862.400000000236","41","41.6"
,"9285","41","38","12663.400000000238","39","41.6","11453","43","42","11047.400000000202","37","41.6","12934","44","42","12458.600000000239","36","41.6","10152","39","42","13862.400000000236","41","41.6"
,"9429","41","38","12953.400000000247","39","41.6","11729","43","42","11291.00000000021","37","41.6","13198","44","42","12702.200000000246","36","41.6","10440","39","42","14140.800000000245","41","41.6"
,"9429","41","38","12953.400000000247","39","41.6","11729","43","42","11291.00000000021","37","41.6","13198","44","42","12702.200000000246","36","41.6","10440","39","42","14140.800000000245","41","41.6"
,"9581","41","38","13104.200000000252","39","41.6","11933","43","42","11453.400000000214","37","41.6","13450","44","42","12934.200000000254","36","41.6","10656","39","42","14291.60000000025","41","41.6"
,"9701","41","38","13289.800000000258","39","41.6","12113","43","42","11615.80000000022","37","41.6","13666","44","42","13061.800000000258","36","41.6","10776","39","42","14546.800000000258","41","41.6"
,"9757","41","38","13371.00000000026","39","41.6","12209","43","42","11708.600000000222","37","41.6","13810","44","42","13201.000000000262","36","41.6","10860","39","42","14639.60000000026","41","41.6"
,"9757","41","38","13371.00000000026","39","41.6","12209","43","42","11708.600000000222","37","41.6","13810","44","42","13201.000000000262","36","41.6","10860","39","42","14639.60000000026","41","41.6"
,"9997","41","38","13730.600000000271","39","41.6","12593","43","42","12021.800000000232","37","41.6","14182","44","42","13537.400000000272","36","41.6","11280","39","42","14976.000000000271","41","41.6"
,"9997","41","38","13730.600000000271","39","41.6","12593","43","42","12021.800000000232","37","41.6","14182","44","42","13537.400000000272","36","41.6","11280","39","42","14976.000000000271","41","41.6"
,"10141","41","39","13904.600000000277","39","41.6","12821","43","43","12230.600000000239","37","41.6","14482","44","43","13757.80000000028","36","41.6","11412","39","41","15208.000000000278","41","41.6"
,"10177","39","39","13997.40000000028","41","41.6","12860","41","43","12277.00000000024","38","41.6","14547","44","43","13804.20000000028","36","41.6","11478","40","41","15324.000000000282","40","41.6"
,"10339","39","39","14159.800000000285","41","41.6","13068","41","43","12439.400000000245","38","41.6","14794","42","43","14036.200000000288","36","41.6","11676","40","41","15474.800000000287","40","41.6"
,"10339","39","39","14159.800000000285","41","41.6","13068","42","43","12439.400000000245","38","41.6","14794","44","43","14036.200000000288","36","41.6","11676","40","41","15474.800000000287","40","41.6"
,"10501","39","39","14449.800000000294","41","41.6","13341","40","43","12683.000000000253","38","41.6","15054","42","43","14279.800000000296","36","41.6","11951","40","41","15741.600000000295","40","41.6"
,"10591","39","39","14554.200000000297","41","41.6","13445","40","43","12810.600000000257","38","41.6","15197","42","43","14361.000000000298","36","41.6","11995","40","41","15880.8000000003","40","41.6"
,"10753","39","39","14716.600000000302","41","41.6","13653","41","43","12973.000000000262","38","41.6","15444","42","43","14593.000000000306","36","41.6","12193","40","41","16031.600000000304","40","41.6"
,"10789","39","39","14809.400000000305","41","41.6","13692","41","43","13019.400000000263","38","41.6","15509","44","43","14639.400000000307","36","41.6","12259","40","41","16147.600000000308","40","41.6"
,"10852","39","39","14890.600000000308","41","41.6","13783","41","43","13112.200000000266","38","41.6","15652","43","43","14778.600000000311","36","41.6","12336","40","41","16240.40000000031","40","41.6"
,"10852","39","39","14890.600000000308","41","41.6","13783","42","43","13112.200000000266","38","41.6","15652","44","43","14778.600000000311","36","41.6","12336","40","41","16240.40000000031","40","41.6"
,"11203","39","39","15366.200000000323","41","41.6","14277","38","43","13553.00000000028","38","41.6","16159","39","43","15196.200000000325","36","41.6","12776","40","41","16704.40000000027","40","41.6"
,"11203","39","38","15366.200000000323","41","41.6","14277","42","42","13553.00000000028","38","41.6","16159","44","42","15196.200000000325","36","41.6","12776","40","40","16704.40000000027","40","41.6"
,"11259","41","38","15447.400000000325","39","41.4","14373","43","42","13645.800000000283","37","41.4","16303","44","42","15335.400000000329","36","41.4","12846","41","40","16797.20000000026","39","41.4"
,"11291","41","38","15538.600000000322","39","41.4","14421","43","42","13691.400000000282","37","41.4","16363","44","42","15381.000000000327","36","41.4","12906","40","40","16911.200000000274","40","41.4"
,"11443","41","38","15686.800000000318","39","41.4","14625","43","42","13851.000000000276","37","41.4","16615","44","42","15609.00000000032","36","41.4","13086","40","40","17059.400000000292","40","41.4"
,"11531","41","38","15778.000000000315","39","41.4","14757","43","42","13965.000000000273","37","41.4","16771","44","42","15688.800000000318","36","41.4","13126","40","40","17196.20000000031","40","41.4"
,"11675","41","38","16063.000000000306","39","41.4","15033","43","42","14204.400000000265","37","41.4","17035","44","42","15928.20000000031","36","41.4","13376","40","40","17458.400000000343","40","41.4"
,"11675","41","38","16063.000000000306","39","41.4","15033","43","42","14204.400000000265","37","41.4","17035","44","42","15928.20000000031","36","41.4","13376","40","40","17458.400000000343","40","41.4"
,"11827","41","38","16211.2000000003","39","41.4","15237","43","42","14364.00000000026","37","41.4","17287","44","42","16156.200000000303","36","41.4","13556","40","40","17606.600000000362","40","41.4"
,"11859","41","38","16302.400000000298","39","41.4","15285","43","42","14409.600000000259","37","41.4","17347","44","42","16201.800000000301","36","41.4","13616","40","40","17720.600000000377","40","41.4"
