"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S5_S2"
"03/20/2023 16:57:12:238 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"distance-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","241342","38","42","161011.60000000618","42","35.2","144044","36","34","143424.4000000088","44","32.4","158062","37","38","283154.59999999","43","42","70960","39","34","173083.40000000419","41","36"
"[min]","0","29","36","0","31","35.2","0","36","32","0","32","32.4","0","37","36","0","36","41.6","0","39","32","0","37","35.6"
"[max]","241342","49","44","161011.60000000618","45","42","144044","48","40","143424.4000000088","44","42","158062","42","38","283154.59999999","43","42.4","70960","43","38","173083.40000000419","41","42"
"[mean]","118005.77","40.5745","41.387","83677.82670000028","39.1255","37.06349999999984","81722.231","39.6825","36.441","81483.97400000393","40.3175","36.73329999999993","79113.907","38.6445","37.023","141563.89880000046","41.241","41.9175000000003","42291.101","39.923","33.025","95709.57710000563","40.077","36.897300000000456"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","49","36","0","31","42","0","48","36","0","32","42","0","41","36","0","39","42","0","43","36","0","37","42"
,"294","49","38","372","31","41.8","288","48","38","384","32","41.8","246","41","38","468","39","41.8","258","43","38","444","37","41.8"
,"294","47","38","372","33","41.8","288","46","38","384","34","41.8","246","37","38","468","43","41.8","258","39","38","444","41","41.8"
,"342","47","38","454.6000000000001","33","41.8","360","46","38","443.00000000000006","34","41.8","302","37","38","550.5999999999998","43","41.8","330","39","38","585.5999999999997","41","41.8"
,"422","47","38","548.9999999999999","33","41.8","424","46","38","513.8","34","41.8","374","37","38","680.3999999999993","43","41.8","394","39","38","679.9999999999993","41","41.8"
,"526","47","38","714.1999999999992","33","41.8","544","46","38","643.5999999999995","34","41.8","478","37","38","916.3999999999984","43","41.8","498","39","38","892.3999999999985","41","41.8"
,"646","47","38","784.999999999999","33","41.8","624","46","38","761.599999999999","34","41.8","534","37","38","987.1999999999981","43","41.8","570","39","38","951.3999999999983","41","41.8"
,"846","47","38","1020.9999999999982","33","41.8","864","46","38","973.9999999999982","34","41.8","726","37","38","1270.3999999999971","43","41.8","778","39","38","1305.399999999997","41","41.8"
,"846","47","38","1020.9999999999982","33","41.8","864","46","38","973.9999999999982","34","41.8","726","37","38","1270.3999999999971","43","41.8","778","39","38","1305.399999999997","41","41.8"
,"950","47","38","1186.1999999999975","33","41.8","984","46","38","1103.7999999999977","34","41.8","830","37","38","1506.3999999999962","43","41.8","882","39","38","1517.799999999996","41","41.8"
,"1030","47","38","1280.5999999999972","33","41.8","1048","46","38","1174.5999999999974","34","41.8","902","37","38","1636.1999999999957","43","41.8","946","39","38","1612.1999999999957","41","41.8"
,"1198","47","38","1433.9999999999966","33","41.8","1200","46","38","1351.5999999999967","34","41.8","1014","37","38","1789.5999999999951","43","41.8","1090","39","38","1812.799999999995","41","41.8"
,"1198","47","38","1433.9999999999966","33","41.6","1200","46","38","1351.5999999999967","34","41.6","1014","37","38","1789.5999999999951","43","41.6","1090","39","38","1812.799999999995","41","41.6"
,"1454","47","38","1747.1999999999941","33","41.6","1488","46","38","1629.9999999999945","34","41.6","1254","37","38","2218.799999999992","43","41.6","1330","39","38","2230.399999999992","41","41.6"
,"1454","47","38","1747.1999999999941","33","41.6","1488","46","38","1629.9999999999945","34","41.6","1254","37","38","2218.799999999992","43","41.6","1330","39","38","2230.399999999992","41","41.6"
,"1502","47","38","1828.3999999999935","33","41.6","1560","46","38","1687.999999999994","34","41.6","1310","37","38","2299.9999999999914","43","41.6","1402","39","38","2369.599999999991","41","41.6"
,"1702","47","38","1990.7999999999922","33","41.6","1704","46","38","1873.5999999999926","34","41.6","1438","37","38","2497.19999999999","43","41.6","1538","39","38","2520.3999999999896","41","41.6"
,"1806","47","38","2153.199999999991","33","41.6","1824","46","38","2001.1999999999916","34","41.6","1542","37","38","2729.199999999988","43","41.6","1642","39","38","2729.199999999988","41","41.6"
,"1806","47","38","2153.199999999991","33","41.6","1824","46","38","2001.1999999999916","34","41.6","1542","37","38","2729.199999999988","43","41.6","1642","39","38","2729.199999999988","41","41.6"
,"2006","47","38","2385.1999999999894","33","41.6","2064","46","38","2209.99999999999","34","41.6","1734","37","38","3007.599999999986","43","41.6","1850","39","38","3077.1999999999853","41","41.6"
,"2006","47","38","2385.1999999999894","33","41.6","2064","46","38","2209.99999999999","34","41.6","1734","37","38","3007.599999999986","43","41.6","1850","39","38","3077.1999999999853","41","41.6"
,"2230","47","38","2617.1999999999875","33","41.6","2264","46","38","2453.599999999988","34","41.6","1894","37","38","3309.1999999999834","43","41.6","2026","39","38","3343.999999999983","41","41.6"
,"2310","47","38","2709.999999999987","33","41.6","2328","46","38","2523.1999999999875","34","41.6","1966","37","38","3436.7999999999824","43","41.6","2090","39","38","3436.7999999999824","41","41.6"
,"2358","47","38","2791.199999999986","33","41.4","2400","46","38","2581.199999999987","34","41.4","2022","37","38","3517.999999999982","43","41.8","2162","39","38","3575.9999999999814","41","41.8"
,"2358","47","38","2791.199999999986","33","41.4","2400","45","38","2581.199999999987","35","41.4","2022","37","38","3517.999999999982","43","41.8","2162","39","38","3575.9999999999814","41","41.8"
,"2614","47","38","3098.9999999999886","33","41.4","2680","45","38","2866.1999999999894","35","41.4","2262","37","38","3954.5999999999885","43","41.8","2402","39","38","4000.799999999988","41","41.8"
,"2734","47","38","3167.399999999989","33","41.4","2760","45","38","2980.1999999999903","35","41.4","2318","37","38","4025.3999999999896","43","41.8","2474","39","38","4059.799999999989","41","41.8"
,"2782","47","38","3247.19999999999","33","41.4","2832","45","38","3037.1999999999907","35","41.4","2374","37","38","4107.999999999991","43","41.8","2546","39","38","4201.3999999999905","41","41.8"
,"2862","47","38","3338.3999999999905","33","41.4","2888","45","38","3116.9999999999914","35","41.4","2446","37","38","4237.799999999993","43","41.8","2610","39","38","4295.799999999992","41","41.8"
,"2966","47","38","3497.999999999992","33","41.4","3008","45","38","3242.3999999999924","35","41.4","2550","37","38","4473.7999999999965","43","41.8","2714","39","38","4508.199999999995","41","41.8"
,"2966","47","38","3497.999999999992","33","41.4","3008","45","38","3242.3999999999924","35","41.4","2550","37","38","4473.7999999999965","43","41.8","2714","39","38","4508.199999999995","41","41.8"
,"3286","47","38","3794.399999999994","33","41.4","3320","45","38","3572.999999999995","35","41.4","2798","37","38","4827.800000000002","43","41.8","2994","39","38","4921.200000000002","41","41.8"
,"3286","47","38","3794.399999999994","33","41.4","3320","45","38","3572.999999999995","35","41.4","2798","37","38","4827.800000000002","43","41.8","2994","39","38","4921.200000000002","41","41.8"
,"3390","47","38","3953.9999999999955","33","41.4","3440","45","38","3698.399999999996","35","41.4","2902","37","38","5063.800000000006","43","41.8","3098","39","38","5133.600000000005","41","41.8"
,"3470","47","38","4045.199999999996","33","41.2","3496","45","38","3778.1999999999966","35","41.2","2974","37","38","5193.600000000008","43","42","3162","39","38","5228.000000000006","41","42"
,"3518","47","38","4123.599999999995","33","41.2","3568","45","38","3834.1999999999957","35","41.2","3030","37","38","5277.600000000008","43","42","3234","41","38","5372.000000000006","39","42"
