"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"1242.6000000000056","80","36.2","0","0","41","1261.2000000000057","80","36.2","0","0","41","1286.000000000006","80","36.2","0","0","41","1310.800000000006","80","36.2","0","0","41"
,"1242.6000000000056","80","36.2","0","0","41","1261.2000000000057","80","36.2","0","0","41","1286.000000000006","80","36.2","0","0","41","1310.800000000006","80","36.2","0","0","41"
,"1410.0000000000068","80","36.2","0","0","41","1434.800000000007","80","36.2","0","0","41","1484.4000000000074","80","36.2","0","0","41","1527.8000000000077","80","36.2","0","0","41"
,"1527.8000000000077","80","36.2","0","0","41","1534.0000000000077","80","36.2","0","0","41","1583.600000000008","80","36.2","0","0","41","1639.4000000000085","80","36.2","0","0","41"
,"1726.2000000000091","80","36.2","0","0","41","1751.0000000000093","80","36.2","0","0","41","1813.0000000000098","80","36.2","0","0","41","1862.6000000000101","80","36.2","0","0","41"
,"1726.2000000000091","80","36.2","0","0","41","1751.0000000000093","80","36.2","0","0","41","1813.0000000000098","80","36.2","0","0","41","1862.6000000000101","80","36.2","0","0","41"
,"2098.200000000009","80","36.2","0","0","41","2123.000000000008","80","36.2","0","0","41","2185.0000000000064","80","36.2","0","0","41","2247.0000000000045","80","36.2","0","0","41"
,"2098.200000000009","80","36.2","0","0","41","2123.000000000008","80","36.2","0","0","41","2185.0000000000064","80","36.2","0","0","41","2247.0000000000045","80","36.2","0","0","41"
,"2172.6000000000067","80","36.2","0","0","41","2216.0000000000055","80","36.2","0","0","41","2290.4000000000033","80","36.2","0","0","41","2358.6000000000013","80","36.2","0","0","41"
,"2414.3999999999996","80","36.2","0","0","41","2439.199999999999","80","36.2","0","0","41","2513.5999999999967","80","36.2","0","0","41","2581.7999999999947","80","36.2","0","0","41"
,"2581.7999999999947","80","36.2","0","0","41","2612.799999999994","80","36.2","0","0","41","2711.999999999991","80","36.2","0","0","41","2798.7999999999884","80","36.2","0","0","41"
,"2581.7999999999947","80","36.2","0","0","41","2612.799999999994","80","36.2","0","0","41","2711.999999999991","80","36.2","0","0","41","2798.7999999999884","80","36.2","0","0","41"
